Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka
Psychiatrická ambulance pro děti a mladistvé,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",hanusovaa@lfhk.cuni.cz,495 833 746,https://www.fnhk.cz/psych/kliniky-ambulance.html
Psychoterapeutické centrum MUDr. Elena Křivková,Psychoterapeutická ambulance,"Velké náměstí 149, Hradec Králové (část) 500 03, Královéhradecký kraj",poradna@psycholog-hradec-kralove.cz,603 997 033,https://firmy.hradeckralove.cz/firma-psychoterapeuticke-centrum-mudr-elena-krivkova-33806/#ixzz6jVYeQm5u
Psychiatr MUDr. Ludmila Dušková,Psychiatrická ambulance,"Horní 180, Prachatice 383 01, Jihočeský kraj",taduskova@centrum.cz,388 316 762,https://www.asertivita.com/
Psychoterapeutické centrum MUDr. Elena Křivková,Psychoterapeutická ambulance,"Palackého 201, Trutnov 541 01, Královéhradecký kraj",poradna@psycholog-hradec-kralove.cz,603 997 033,psycholog-hradec-kralove.cz
MUDr. Jaroslav Poláček - Ordinace psychiatra,Psychiatrická ambulance,"Palackého 201, Trutnov 541 01, Královéhradecký kraj",j.polacek@worldonline.cz,499 850 770,https://www.netfirmy.cz/firma/6757-polacek-jaroslav-mudr/
Mgr. Veronika Galusová - Psychologická poradna,Psychologická ambulance,"Pražská třída 649/45, Hradec Králové (část) 500 04, Královéhradecký kraj",galusova.veronika@email.cz,778 048 819,https://veronikagalusova.cz
PhDr. Jana Mervartová - Psychologická poradna,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",proximity.ps@tiscali.cz,465 557 563,proximity.unas.cz
Mgr. Dagmar Jakubská - Soukromá psychologická praxe,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",dagmar.jakubska@seznam.cz,777 819 645,http://www.psycholog-hk.cz/
"KAIROS - Centrum krizové intervence, psychoterapie a hypnoterapie",Psychoterapeutická ambulance,"československé armády 282/15, Hradec Králové (část) 500 03, Královéhradecký kraj",info@kairos-hk.cz,725 340 204,http://kairos-hk.cz/nabizene-sluzby/
Mgr. René Hůlek - Psychologická poradna,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",rene@hulek.cz,608 970 783,https://search.seznam.cz/?q=psycholog+hradec+kr%C3%A1lov%C3%A9&oq=psycholog+Hradec+&aq=1&sourceid=top&thru=sugend&sId=puFsObCO0i8VnJrk8ZoV&sgId=MTA5Nzc3MzkgMTYxMDk2ODAxNS42NzA%3D&overlay_type&overlay_id
EEG - Biofeedback,Psychologická ambulance,"Machkova 587/42, Hradec Králové (část) 503 11, Královéhradecký kraj",noskovi.hk@gmail.com,"602 116 318, 603 337 132",www.eeg-biofeedback-hradec.cz
Mgr. Martin Brož - Psychologická poradna,Psychologická ambulance,"Velké náměstí 19/29, Hradec Králové (část) 500 03, Královéhradecký kraj",martinbroz@mb-psychoterapie.cz,721 710 198,mb-psychoterapie.cz
Mgr. Lenka Půlpánová - Psychologická poradna,Psychologická ambulance,"Veverkova 1343/1, Hradec Králové (část) 500 02, Královéhradecký kraj",pulpanova@psychoporadnahk.cz,732 170 292,psychoporadnahk.cz
Psychoterapeutická poradna TERAPEUTOVNA,Psychoterapeutická ambulance,"S. K. Neumanna 250/4, Hradec Králové (část) 500 02, Královéhradecký kraj",psychoterapeutovna@gmail.com,775 727 068,www.psycholozkazpatehopatra.cz
Mgr. Lucie Blažková - Psychologická poradna,Psychologická ambulance,"Horova 36/29, Hradec Králové (část) 500 02, Královéhradecký kraj",psychologhk.blazkova@gmail.com,737 988 290,www.psychologicka-poradna-hk.cz
Mgr. Denisa Hatáková - Psychologická poradna,Psychologická ambulance,"Horova 36/29, Hradec Králové (část) 500 02, Královéhradecký kraj",psycholog.hatakova@gmail.com,724 931 027,www.psycholog-hatakova.cz
Psycholog Mgr. et Mgr. Radka Minaříková,Psychologická ambulance,"Střelecká 45/2, Hradec Králové (část) 500 02, Královéhradecký kraj",radka.minarikova@post.cz,775 266 244,https://radkaminarikova.webnode.cz
Manželská poradna - Hradec Králové,Psychologická ambulance,"Divišova 829/2, Hradec Králové (část) 500 03, Královéhradecký kraj",poradna.hk@csps-hk.cz,607 248 533,csps-hk.cz
Manželská poradna Jičín,Psychologická ambulance,"Denisova 585, Jičín-Dvorce 506 01, Královéhradecký kraj",poradna.jc@seznam.cz,606 963 057,https://www.csps-hk.cz/
Manželská poradna Náchod,Psychologická ambulance,"Hálkova 432, Náchod 547 01, Královéhradecký kraj",rod.poradna@csps-hk.cz,728 934 183,https://www.csps-hk.cz/
Manželská poradna Rychnov nad Kněžnou,Psychologická ambulance,"Javornická 1501, Rychnov nad Kněžnou 516 01, Královéhradecký kraj",poradna@psycholog-rychnov.cz,733 676 799,https://www.csps-hk.cz/
Psychiatrická ambulance Pateb Jemnice,Psychiatrická ambulance,"Budějovická 625, Jemnice 675 31, Kraj Vysočina",pateb@pateb.cz,565 303 237,http://www.pateb.cz
Mgr. Romana Svíbová - tvuj-terapeut.cz,Psychologická ambulance,"československé armády 287/19, Hradec Králové (část) 500 03, Královéhradecký kraj",info@tvuj-terapeut.cz,775 505 315,tvuj-terapeut.cz
"AKAP centrum, s.r.o.",Psychologická ambulance,"V Kopečku 163/19, Hradec Králové (část) 500 03, Královéhradecký kraj",akapcentrum@gmail.com,603 739 658,asistovanekontakty.cz
PaedDr. Jaroslava Honegrová - Psychologická poradna,Psychologická ambulance,"Boční 273/14, Hradec Králové (část) 503 11, Královéhradecký kraj",j.honegrova@seznam.cz,606 484 975,terapie-poradenstvi.wz.cz
Mgr. Zuzana říhová - Psychologická poradna,Psychologická ambulance,"S. K. Neumanna 250/4, Hradec Králové (část) 500 02, Královéhradecký kraj",zuzana.lenderova.rihova@gmail.com,774 830 975,https://zuzanarihova.lender.cz
"Dr. Jan Vyhnálek Ph.D., psycholog",Psychologická ambulance,"náměstí 5. května 286/3, Hradec Králové (část) 500 02, Královéhradecký kraj",vyhnalekj@gmail.com,775 249 886,www.cpduha.cz
PhDr. Dana Dobiášová - Klinický psycholog a psychoterapeut,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",dana.dobiasova@centrum.cz,731 171 454,www.psy-dobiasova.cz
MUDr. Lubomír Hadaš - Psychoterapie,Psychoterapeutická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",lubomir.hadas@seznam.cz,605 714 948,https://www.firmy.cz/detail/479833-mudr-lubomir-hadas-hradec-kralove.html
Magdaléna Datková - Ordinace klinické psychologie,Klinický psycholog,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",datkova@seznam.cz,495 833 842,https://www.firmy.cz/detail/2258616-magdalena-datkova-hradec-kralove-novy-hradec-kralove.html
Mgr. Martina Cibulková - Psychoterapie,Psychoterapeutická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",martina.cibulka@seznam.cz,736 788 346,www.psychoterapiehk.cz
Psychoterapie - Mgr. Radka Brůnová,Psychoterapeutická ambulance,"Lochenice 23, Lochenice 503 02, Královéhradecký kraj",radkabrunova@seznam.cz,736 190 725,psychoterapiehradeckralove.cz
Psychiatrická ordinace MUDr. Aleš Michálek,Psychiatrická ambulance,"Nemocniční 429, český Krumlov 381 01, Jihočeský kraj",,380 714 767,http://www.nemckr.cz/index.php/cs/ambulance/soukr-ordinace/psychiatrie
"Mgr. Marek Vít - Ambulance klinické psychologie, psychoterapie a homeopatie",Klinický psycholog,"Na Chocholouši 409, Hronov (část) 549 31, Královéhradecký kraj",vitm@post.cz,777 052 569,psychosomatika.info
Scintilla - jiskra duše,Psychologická ambulance,"Kamenice 113, Náchod 547 01, Královéhradecký kraj",iva@jiskraduse.cz,724 879 797,www.jiskraduse.cz
"PhDr. Eva Otterová - Klinický psycholog, psychoterapeut",Klinický psycholog,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",eva.otterova@seznam.cz,774 230 134,https://www.firmy.cz/detail/12999364-phdr-eva-otterova-hradec-kralove.html
Psychiatrická ambulance MUDr. Martina Habrová,Psychiatrická ambulance,"Antonínská 85/II, Dačice I 380 01, Jihočeský kraj",neniemail@nemda.cz,384 384 262,http://www.nemdac.cz/ambulance/psychiatricka-ambulance/
Psychoterapeut Josef řehák,Psychoterapeutická ambulance,"Nebahovská 1015, Prachatice 383 01, Jihočeský kraj",Josef.Rehak@iol.cz,603254294,https://czap.cz/Sys/PublicProfile/58885403
"AMBULANCE Klinické psychologie, psychiatrie a dětské psychiatrie, adiktologie",Klinický psycholog,"Presslova 449, Dvůr Králové nad Labem 544 01, Královéhradecký kraj",psychiatrie.dvur@seznam.cz,725 099 630,http://www.riaps.cz/ambulance/
AMBULANCE Klinické psychologie Trutnov,Klinický psycholog,"Procházkova 818, Trutnov 541 01, Královéhradecký kraj",ambulance.trutnov@riaps.cz,"731 441 264, 725 720 341",http://www.riaps.cz/ambulance
CDZ Trutnov (RIAPS Trutnov),CDZ - Centrum duševního zdraví,"Procházkova 818, Trutnov 541 01, Královéhradecký kraj",cdztrutnov@seznam.cz,702 256 762,http://www.riaps.cz/cdz/
CDZ Kyjov (Fénix),CDZ - Centrum duševního zdraví,"Urbanova 625, Kyjov 697 01, Jihomoravský kraj",info@fenix-centrum.cz,602 699 146,http://www.fenix-centrum.cz/centrum-dusevniho-zdravi
CDZ Brno I (Práh jižní Morava),CDZ - Centrum duševního zdraví,"Štěpánská 2, Brno-Trnitá (část) 602 00, Jihomoravský kraj",terennitym@prah-brno.cz,733 643 379,https://www.cdz-brno.cz/
CDZ Brno II (Práh jižní Morava),CDZ - Centrum duševního zdraví,"Jugoslávská 17, Zábrdovice (Brno-sever) (část) 613 00, Jihomoravský kraj",cdz@pnbrno.cz,737 390 737,https://www.pnbrno.cz/centrum-dusevniho-zdravi/
CDZ Havlíčkův Brod (Fokus Vysočina),CDZ - Centrum duševního zdraví,"Havlíčkova 2034, Havlíčkův Brod 580 01, Kraj Vysočina",marketa.tumova@fokusvysocina.cz,775 151 495,http://www.fokusvysocina.cz/centrum-dusevniho-zdravi
CDZ Přerov (Psychosociální centrum Přerov),CDZ - Centrum duševního zdraví,"Kosmákova 44, Přerov I-Město 750 02, Olomoucký kraj",tym@cdzprerov.cz,583 035 220,https://www.psyche.cz/cdz
CDZ Cheb (Fokus MB),CDZ - Centrum duševního zdraví,"Mánesova 265/13, Cheb 350 02, Karlovarský kraj",skalicka@fokus-mb.cz,775 562 065,www.fokus-mb.cz
CDZ Karlovy Vary (Fokus MB),CDZ - Centrum duševního zdraví,"Plzeňská 1445/11, Karlovy Vary 360 01, Karlovarský kraj",forejtkova@fokus-mb.cz,777 365 237,www.fokus-mb.cz
CDZ Jihlava (VOR Jihlava),CDZ - Centrum duševního zdraví,"Komenského 36, Jihlava (část) 586 01, Kraj Vysočina",cdz@pnj.cz,604 291 474,https://www.vorjihlava.cz/cdz_jihlava/informace
Psychocentrum - manželská a rodinná poradna Třebíč,Psychoterapeutická ambulance,"Karlovo náměstí 30/41, Třebíč 674 01, Kraj Vysočina",poradna.tr@psychocentrum.cz,704 619 459,https://www.psychocentrum.cz/
CDZ Klatovy (Ledovec),CDZ - Centrum duševního zdraví,"Pod Nemocnicí 789, Klatovy I 339 01, Plzeňský kraj",cdzklatovy@ledovec.cz,603 111 542,https://www.ledovec.cz/centrum-dusevniho-zdravi/cdz-klatovy
CDZ Plzeň (Ledovec),CDZ - Centrum duševního zdraví,"Karolíny Světlé 463/13, Plzeň 1-Bolevec (část) 323 00, Plzeňský kraj",CDZ@ledovec.cz,"377 429 616, 737 163 204",https://www.ledovec.cz/centrum-dusevniho-zdravi/cdz-plzen
Centrum duševního zdraví a komunitní centrum Tábor,CDZ - Centrum duševního zdraví,"Mostecká 2087, Tábor (část) 390 02, Jihočeský kraj",fokustabor@fokustabor.cz,731 209 156,http://www.fokustabor.cz/centrum-dusevniho-zdravi-_-komunitni-tym-tabor
CDZ Strakonice (Fokus Písek),CDZ - Centrum duševního zdraví,"Lidická 1081, Strakonice I 386 01, Jihočeský kraj",cdz.strakonice@fokus-pisek.cz,778 061 769,https://www.fokus-pisek.cz/cdz-strakonice/
CDZ Mladá Boleslav (Fokus MB),CDZ - Centrum duševního zdraví,"čechova 635/11, Mladá Boleslav I 293 01, Středočeský kraj",svancarova@fokus-mb.cz,778 449 584,https://www.pnkosmonosy.cz/cdz.html
CDZ Kroměříž (CSP Zlín),CDZ - Centrum duševního zdraví,"Mánesova 3880, Kroměříž 767 01, Zlínský kraj",info@cdzkm.cz,"777 721 131, 735 756 490",http://www.cdzkm.cz/
CDZ Pardubice (PDZ),CDZ - Centrum duševního zdraví,"Bělehradská 389, Pardubice-Staré Město 530 02, Pardubický kraj",pdz-pce@pdz.cz,777 454 573,http://www.pdz.cz/czd-pa.html
"CDZ Podskalí, Praha (Fokus Praha)",CDZ - Centrum duševního zdraví,"Vnislavova 48/4, Nusle (Praha 2) (část) 120 00, Hlavní město Praha",cdzpodskali@fokus-praha.cz,774 804 923,https://fokus-praha.cz/cz/pomahame/centrum-podskali/cdz-podskali
CDZ Praha 6 (Fokus Praha),CDZ - Centrum duševního zdraví,"Nad Alejí 1881/29, Bubeneč (Praha 6) 160 00, Hlavní město Praha",cdz6@fokus-praha.cz,770 152 223,https://www.fokus-praha.cz/cz/pomahame/centrum-brevnov/cdz6#prvni-navsteva
"CDZ ESET, Praha (ESET, Psychoterapeutická a psychosomatická klinika)",CDZ - Centrum duševního zdraví,"Brigádníků 556/353, Strašnice (Praha 10) (část) 100 00, Hlavní město Praha",cdz@cdzeset.cz,224 316 135,https://www.cdzeset.cz/
CDZ Praha 8 (Fokus Praha),CDZ - Centrum duševního zdraví,"Dolákova 24, Bohnice (část) 181 00, Hlavní město Praha",info@cdz8.cz,734 785 000,https://cdz8.cz/
CDZ Praha 9 (Fokus Praha),CDZ - Centrum duševního zdraví,"Lovosická 440/40, Střížkov (Praha 9) 190 00, Hlavní město Praha",info@cdz9.cz,734 785 106,https://cdz9.cz/
CDZ Ústí nad Labem (Fokus Labe),CDZ - Centrum duševního zdraví,"Stroupežnického 1372/9, Ústí nad Labem-centrum (část) 400 01, Ústecký kraj",hnizdil@cdz-usteckykraj.cz,733 184 376,https://www.fokuslabe.cz/centra-dusevniho-zdravi/centrum-dusevniho-zdravi-usti-nad-labem/
CDZ Chomutov (Fokus Labe),CDZ - Centrum duševního zdraví,"Kochova 1185, Chomutov (část) 430 01, Ústecký kraj",hejcova@cdz-usteckykraj.cz,730 512 887,https://www.fokuslabe.cz/centra-dusevniho-zdravi/centrum-dusevniho-zdravi-chomutov/
"CDZ Brandýsko, Brandýs nad Labem (Fokus Praha)",CDZ - Centrum duševního zdraví,"Fakultní 2488, Brandýs nad Labem 250 01, Středočeský kraj",info@cdz-brandysko.cz,734 785 199,www.cdz-brandysko.cz
CDZ Olomouc (Společnost Mana),CDZ - Centrum duševního zdraví,"Rokycanova 796/1g, Pavlovičky (část) 772 00, Olomoucký kraj",info@cdzolomouc.cz,607 252 881,https://www.cdzolomouc.cz
"CDZ Beskydské, Frýdek Místek (Charita Frýdek-Místek)",CDZ - Centrum duševního zdraví,"Elišky Krásnohorské 249, Frýdek 738 01, Moravskoslezský kraj",info@charitafm.cz,704 600 368,https://charitafm.cz/nase-sluzby/pro-nemocne/beskydske-centrum-dusevniho-zdravi/
CDZ Ostrava,CDZ - Centrum duševního zdraví,"Kafkova 1116/13, Moravská Ostrava (část) 702 00, Moravskoslezský kraj",info@cdzostrava.cz,595 223 166,cdzostrava.cz
"MUDr. Havlová Helena, MediClinic a.s.",Psychiatrická ambulance,"Nad Stadiónem 484, Vimperk I 385 01, Jihočeský kraj",psychiatrie1-Vimperk@ordinace.mediclinic.cz,"388 415 597, 734 433 116",https://www.mediclinic.cz/lekar/vimperk-havlova
MUDr. Michal Prokeš,Psychiatrická ambulance,"Široká 436/17, české Budějovice 370 01, Jihočeský kraj",info@mudrprokes.cz,"386 321 307, 604 485 004",http://www.mudrprokes.cz/
MUDr. Markéta Roušalová,Psychiatrická ambulance,"Žižkova tř. 1321/1, české Budějovice 370 01, Jihočeský kraj",marketa.rousalova@seznam.cz,383389167,https://www.znamylekar.cz/marketa-rousalova/psychiatr/ceske-budejovice
Ailia psychiatrická ambulance Písek,Psychiatrická ambulance,"Jungmannova 29, Písek 397 01, Jihočeský kraj",ailia1@centrum.cz,608 987 751,https://alia13.webnode.cz/
Ailia psychiatrická ambulance Milevsko,Psychiatrická ambulance,"Nádražní 1383, Milevsko 399 01, Jihočeský kraj",ailia1@centrum.cz,777 110 607,https://alia13.webnode.cz/
MUDr. Radka Kamencová - psychiatrická ambulance s. r. o.,Psychiatrická ambulance,"Velké náměstí 221, Strakonice I 386 01, Jihočeský kraj",mudr.kamencova@gmail.com,385 340 872,https://www.psychiatriestrakonice.cz/
PhDr. Vladimír Forst,Psychologická ambulance,"Matice školské 17, české Budějovice 370 01, Jihočeský kraj",forst.vladimir@post.cz,603895363,https://www.najdipomoc.cz/detail/psycholog/phdr-vladimir-forst/
Psychocentrum - manželská a rodinná poradna Jihlava,Psychoterapeutická ambulance,"Pod Příkopem 4, Jihlava (část) 586 01, Kraj Vysočina",poradna.ji@psychocentrum.cz,567 308 855,https://www.psychocentrum.cz/
Psychocentrum - manželská a rodinná poradna Žďár nad Sázavou,Psychoterapeutická ambulance,"Horní 22, Žďár nad Sázavou 3 591 01, Kraj Vysočina",poradna.zr@psychocentrum.cz,566 621 404,https://www.psychocentrum.cz
Psychocentrum - manželská a rodinná poradna Havlíčkův Brod,Psychoterapeutická ambulance,"Dobrovského 2915, Havlíčkův Brod 580 01, Kraj Vysočina",poradna.hb@psychocentrum.cz,734 354 085,https://www.psychocentrum.cz
Psychocentrum - manželská a rodinná poradna Pelhřimov,Psychoterapeutická ambulance,"Pražská 127, Pelhřimov 393 01, Kraj Vysočina",poradna.pe@psychocentrum.cz,737 618 913,https://www.psychocentrum.cz
Psychiatrie Třebíč,Psychiatrická ambulance,"Gen. Sochora 705, Třebíč 674 01, Kraj Vysočina",info@psychiatrietrebic.cz,725 757 122,https://www.psychiatrietrebic.cz
Ambulance ADIKTA,Psychiatrická ambulance,"Vrchlického 2497/57, Jihlava (část) 586 01, Kraj Vysočina",info@at-ambulance.cz,"567 574 555, 605 717 470",http://www.at-ambulance.cz/
Psychiatrická ambulance - MUDr. Hana Houdková,Psychiatrická ambulance,"Žižkova 922, Pacov 395 01, Kraj Vysočina",hhoudkova@atlas.cz,735 512 311,
Psychiatrická ambulance - MUDr. Libuše Jonášová,Psychiatrická ambulance,"Masarykova 885, Humpolec 396 01, Kraj Vysočina",ljonasova@centrum.cz,565 536 114,https://www.firmy.cz/detail/13284321-mudr-libuse-jonasova-humpolec.html
Psychiatrická ambulance - MUDr. Andrea Mašková,Psychiatrická ambulance,"Lánecká 970, Světlá nad Sázavou 582 91, Kraj Vysočina",andrea.maskova@seznam.cz,605 788 109,https://www.psychiatrie-maskova.cz
"Psychiatrická ambulance - MEDACOL, s.r.o.",Psychiatrická ambulance,"Svatovítské náměstí 880, Pelhřimov 393 01, Kraj Vysočina",psychamb.prochazka.pe@gmail.com,565 325 608,https://psychiatrie-pelhrimov.webnode.cz/
Klinický psycholog - Nemocnice Třebíč,Psychologická ambulance,"Purkyňovo nám. 133/2, Jejkov 674 01, Kraj Vysočina",info@nem-tr.cz,568 809 370,nem-tr.cz/cze/ambulance/klinicky-psycholog/
Ambulance klinické psychologie - Nemocnice Havlíčkův Brod,Psychologická ambulance,"Husova 2624, Havlíčkův Brod 580 01, Kraj Vysočina",irena.komendova@onhb.cz,569 472 306,onhb.cz/Article.asp?nDepartmentID=256&nArticleID=341&nLanguageID=1
Ambulance klinické psychologie - Nemocnice Nové Město na Moravě,Klinický psycholog,"Žďárská 610, Nové Město na Moravě 592 31, Kraj Vysočina",marta.maluskova@nnm.cz,"566 801 688, 730 180 891",nnm.cz/ambulance-detail?id=049
Psychologická ambulance - Mgr. Nora Brátková,Psychologická ambulance,"Jelínkova 991/39, Nové Dvory 674 01, Kraj Vysočina",bratkova@centrum.cz,737 907 291,http://psychologiebratkova.cz/
Ambulance klinického psychologa - Nemocnice Jihlava,Klinický psycholog,"Vrchlického 4630/59, Jihlava (část) 586 01, Kraj Vysočina",vitekd@nemji.cz,567 157 417,https://nemji.cz/vismo/o_utvar.asp?id_org=427000&id_u=1019&tzv=2&p1=1154
Ambulance klinické psychologie - PhDr. Silvie Bartošová,Klinický psycholog,"Jahodova 4051, Havlíčkův Brod 580 01, Kraj Vysočina",silviebartosova@centrum.cz,604 550 758,https://silviebartosova.www3.cz
Psychiatrická ambulance - MUDr. Marie Zrnečková,Psychiatrická ambulance,"Studentská 1699/4, Žďár nad Sázavou 1 591 01, Kraj Vysočina",zrneckova@quick.cz,566 690 224,https://www.firmy.cz/detail/385280-mudr-marie-zrneckova-zdar-nad-sazavou-4.html
Psychologická ambulance - MUDr. Petr Pokorný,Psychologická ambulance,"Vltavínská 1289/10, Horka-Domky 674 01, Kraj Vysočina",pokorny@trb.cz,568 808 233,https://www.firmy.cz/detail/385443-mudr-petr-pokorny-trebic-horka-domky.html
Psychiatrická ambulance - MUDr. Leo Procházka,Psychiatrická ambulance,"Dobešovská 1, černovice (část) 394 94, Kraj Vysočina",leo.prochazka@gmail.com,565 325 608,https://www.firmy.cz/detail/13285717-mudr-leo-prochazka-cernovice.html
Ordinace klinické psychologie PhDr. Adam Chalupníček,Klinický psycholog,"Masarykovo nám. 968, Náměš nad Oslavou 675 71, Kraj Vysočina",adam.chalupnicek@gmail.com,777 587 261,http://www.psychologos.cz/ordinace-klinicke-psychologie-namest-nad-oslavou/#utm_source=firmy.cz&utm_medium=ppd&utm_content=kategorie&utm_term=Psychologick%c3%a9%20a%20psychiatrick%c3%a9%20ordinace%20a%20pracovi%c5%a1t%c4%9b&utm_campaign=firmy.cz-13307684
"NORBERTINUM, s.r.o.",Psychiatrická ambulance,"Palackého 70, Pelhřimov 393 01, Kraj Vysočina",max.esperanto@gmail.com,565 321 232,https://www.firmy.cz/detail/12762133-norbertinum-pelhrimov.html
Psychiatrická ambulance - MUDr. Blanka Šastná,Psychiatrická ambulance,"Západní 287, Chotěboř 583 01, Kraj Vysočina",bl.stastna@quick.cz,569 623 075,https://www.firmy.cz/detail/385470-mudr-blanka-stastna-chotebor.html
