Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka,web,Matched
Ambulantní péče o osoby s duševním onemocněním,Psychiatrická ambulance,"Klicperova 6, Hořice 508 01, Královéhradecký kraj",horice@vaspsychiatr.cz,,www.vaspsychiatr.cz,https://www.vaspsychiatr.cz,matched
"Psychiatrická ambulance - EGOMED, s.r.o.",Psychiatrická ambulance,"Dr. Ed. Beneše 191, Jaroměř 551 01, Královéhradecký kraj",cernikovalenka@email.cz,+420725811963,https://www.firmy.cz/detail/12844251-egomed-jaromer-prazske-predmesti.html,,matched
"Psychiatrická ambulance Hradec Králové - EGOMED, s.r.o.",Psychiatrická ambulance,"Tomkova 181/9, Hradec Králové (část) 500 03, Královéhradecký kraj",cernikovalenka@email.cz,+420725811963,https://www.firmy.cz/detail/12844248-egomed-hradec-kralove.html,,matched
Psychiatrická ambulance MUDr. Kateřiny Konupčíkové - Hradec Králové,Psychiatrická ambulance,"Ulrichovo náměstí 762, Hradec Králové (část) 500 02, Královéhradecký kraj",ambulance@psychiatrie-konupcikova.cz,+420608971030,http://www.psychiatrie-konupcikova.cz/kontakt.htm,,matched
Psychiatrická ambulance MUDr. Kateřiny Konupčíkové - Vrchlabí,Psychiatrická ambulance,"Komenského 63, Vrchlabí (část) 543 01, Královéhradecký kraj",ambulance@psychiatrie-konupcikova.cz,+420608971030,www.psychiatrie-konupcikova.cz,https://www.psychiatrie-konupcikova.cz,matched
Psychiatrická ambulance pro děti a mladistvé,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",hanusovaa@lfhk.cuni.cz,+420495833746,https://www.fnhk.cz/psych/kliniky-ambulance.html,,matched
Psychoterapeutické centrum MUDr. Elena Křivková,Psychoterapeutická ambulance,"Velké náměstí 149, Hradec Králové (část) 500 03, Královéhradecký kraj",poradna@psycholog-hradec-kralove.cz,+420603997033,https://firmy.hradeckralove.cz/firma-psychoterapeuticke-centrum-mudr-elena-krivkova-33806/#ixzz6jVYeQm5u,,matched
Psychiatr MUDr. Ludmila Dušková,Psychiatrická ambulance,"Horní 180, Prachatice 383 01, Jihočeský kraj",taduskova@centrum.cz,+420388316762,https://www.asertivita.com/,,matched
Psychoterapeutické centrum MUDr. Elena Křivková,Psychoterapeutická ambulance,"Palackého 201, Trutnov 541 01, Královéhradecký kraj",poradna@psycholog-hradec-kralove.cz,+420603997033,psycholog-hradec-kralove.cz,,matched
MUDr. Jaroslav Poláček - Ordinace psychiatra,Psychiatrická ambulance,"Palackého 201, Trutnov 541 01, Královéhradecký kraj",j.polacek@worldonline.cz,+420499850770,https://www.netfirmy.cz/firma/6757-polacek-jaroslav-mudr/,,matched
Mgr. Veronika Galusová - Psychologická poradna,Psychologická ambulance,"Pražská třída 649/45, Hradec Králové (část) 500 04, Královéhradecký kraj",galusova.veronika@email.cz,+420778048819,https://veronikagalusova.cz,,matched
PhDr. Jana Mervartová - Psychologická poradna,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",proximity.ps@tiscali.cz,+420465557563,proximity.unas.cz,,matched
Mgr. Dagmar Jakubská - Soukromá psychologická praxe,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",dagmar.jakubska@seznam.cz,+420777819645,http://www.psycholog-hk.cz/,,matched
"KAIROS - Centrum krizové intervence, psychoterapie a hypnoterapie",Psychoterapeutická ambulance,"československé armády 282/15, Hradec Králové (část) 500 03, Královéhradecký kraj",info@kairos-hk.cz,+420725340204,http://kairos-hk.cz/nabizene-sluzby/,,matched
Mgr. René Hůlek - Psychologická poradna,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",rene@hulek.cz,+420608970783,https://search.seznam.cz/?q=psycholog+hradec+kr%C3%A1lov%C3%A9&oq=psycholog+Hradec+&aq=1&sourceid=top&thru=sugend&sId=puFsObCO0i8VnJrk8ZoV&sgId=MTA5Nzc3MzkgMTYxMDk2ODAxNS42NzA%3D&overlay_type&overlay_id,,matched
EEG - Biofeedback,Psychologická ambulance,"Machkova 587/42, Hradec Králové (část) 503 11, Královéhradecký kraj",noskovi.hk@gmail.com,,www.eeg-biofeedback-hradec.cz,https://www.eeg-biofeedback-hradec.cz,matched
Mgr. Martin Brož - Psychologická poradna,Psychologická ambulance,"Velké náměstí 19/29, Hradec Králové (část) 500 03, Královéhradecký kraj",martinbroz@mb-psychoterapie.cz,+420721710198,mb-psychoterapie.cz,,matched
Mgr. Lenka Půlpánová - Psychologická poradna,Psychologická ambulance,"Veverkova 1343/1, Hradec Králové (část) 500 02, Královéhradecký kraj",pulpanova@psychoporadnahk.cz,+420732170292,psychoporadnahk.cz,,matched
Psychoterapeutická poradna TERAPEUTOVNA,Psychoterapeutická ambulance,"S. K. Neumanna 250/4, Hradec Králové (část) 500 02, Královéhradecký kraj",psychoterapeutovna@gmail.com,+420775727068,www.psycholozkazpatehopatra.cz,https://www.psycholozkazpatehopatra.cz,matched
Mgr. Lucie Blažková - Psychologická poradna,Psychologická ambulance,"Horova 36/29, Hradec Králové (část) 500 02, Královéhradecký kraj",psychologhk.blazkova@gmail.com,+420737988290,www.psychologicka-poradna-hk.cz,https://www.psychologicka-poradna-hk.cz,matched
Mgr. Denisa Hatáková - Psychologická poradna,Psychologická ambulance,"Horova 36/29, Hradec Králové (část) 500 02, Královéhradecký kraj",psycholog.hatakova@gmail.com,+420724931027,www.psycholog-hatakova.cz,https://www.psycholog-hatakova.cz,matched
Psycholog Mgr. et Mgr. Radka Minaříková,Psychologická ambulance,"Střelecká 45/2, Hradec Králové (část) 500 02, Královéhradecký kraj",radka.minarikova@post.cz,+420775266244,https://radkaminarikova.webnode.cz,,matched
Manželská poradna - Hradec Králové,Psychologická ambulance,"Divišova 829/2, Hradec Králové (část) 500 03, Královéhradecký kraj",poradna.hk@csps-hk.cz,+420607248533,csps-hk.cz,,matched
Manželská poradna Jičín,Psychologická ambulance,"Denisova 585, Jičín-Dvorce 506 01, Královéhradecký kraj",poradna.jc@seznam.cz,+420606963057,https://www.csps-hk.cz/,,matched
Manželská poradna Náchod,Psychologická ambulance,"Hálkova 432, Náchod 547 01, Královéhradecký kraj",rod.poradna@csps-hk.cz,+420728934183,https://www.csps-hk.cz/,,matched
Manželská poradna Rychnov nad Kněžnou,Psychologická ambulance,"Javornická 1501, Rychnov nad Kněžnou 516 01, Královéhradecký kraj",poradna@psycholog-rychnov.cz,+420733676799,https://www.csps-hk.cz/,,matched
Psychiatrická ambulance Pateb Jemnice,Psychiatrická ambulance,"Budějovická 625, Jemnice 675 31, Kraj Vysočina",pateb@pateb.cz,+420565303237,http://www.pateb.cz,,matched
Mgr. Romana Svíbová - tvuj-terapeut.cz,Psychologická ambulance,"československé armády 287/19, Hradec Králové (část) 500 03, Královéhradecký kraj",info@tvuj-terapeut.cz,+420775505315,tvuj-terapeut.cz,,matched
"AKAP centrum, s.r.o.",Psychologická ambulance,"V Kopečku 163/19, Hradec Králové (část) 500 03, Královéhradecký kraj",akapcentrum@gmail.com,+420603739658,asistovanekontakty.cz,,matched
PaedDr. Jaroslava Honegrová - Psychologická poradna,Psychologická ambulance,"Boční 273/14, Hradec Králové (část) 503 11, Královéhradecký kraj",j.honegrova@seznam.cz,+420606484975,terapie-poradenstvi.wz.cz,,matched
Mgr. Zuzana říhová - Psychologická poradna,Psychologická ambulance,"S. K. Neumanna 250/4, Hradec Králové (část) 500 02, Královéhradecký kraj",zuzana.lenderova.rihova@gmail.com,+420774830975,https://zuzanarihova.lender.cz,,matched
"Dr. Jan Vyhnálek Ph.D., psycholog",Psychologická ambulance,"náměstí 5. května 286/3, Hradec Králové (část) 500 02, Královéhradecký kraj",vyhnalekj@gmail.com,+420775249886,www.cpduha.cz,https://www.cpduha.cz,matched
PhDr. Dana Dobiášová - Klinický psycholog a psychoterapeut,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",dana.dobiasova@centrum.cz,+420731171454,www.psy-dobiasova.cz,https://www.psy-dobiasova.cz,matched
MUDr. Lubomír Hadaš - Psychoterapie,Psychoterapeutická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",lubomir.hadas@seznam.cz,+420605714948,https://www.firmy.cz/detail/479833-mudr-lubomir-hadas-hradec-kralove.html,,matched
Magdaléna Datková - Ordinace klinické psychologie,Klinický psycholog,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",datkova@seznam.cz,+420495833842,https://www.firmy.cz/detail/2258616-magdalena-datkova-hradec-kralove-novy-hradec-kralove.html,,matched
Mgr. Martina Cibulková - Psychoterapie,Psychoterapeutická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",martina.cibulka@seznam.cz,+420736788346,www.psychoterapiehk.cz,https://www.psychoterapiehk.cz,matched
Psychoterapie - Mgr. Radka Brůnová,Psychoterapeutická ambulance,"Lochenice 23, Lochenice 503 02, Královéhradecký kraj",radkabrunova@seznam.cz,+420736190725,psychoterapiehradeckralove.cz,,matched
Psychiatrická ordinace MUDr. Aleš Michálek,Psychiatrická ambulance,"Nemocniční 429, český Krumlov 381 01, Jihočeský kraj",,+420380714767,http://www.nemckr.cz/index.php/cs/ambulance/soukr-ordinace/psychiatrie,,unmatched
"Mgr. Marek Vít - Ambulance klinické psychologie, psychoterapie a homeopatie",Klinický psycholog,"Na Chocholouši 409, Hronov (část) 549 31, Královéhradecký kraj",vitm@post.cz,+420777052569,psychosomatika.info,,matched
Scintilla - jiskra duše,Psychologická ambulance,"Kamenice 113, Náchod 547 01, Královéhradecký kraj",iva@jiskraduse.cz,+420724879797,www.jiskraduse.cz,https://www.jiskraduse.cz,matched
"PhDr. Eva Otterová - Klinický psycholog, psychoterapeut",Klinický psycholog,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",eva.otterova@seznam.cz,+420774230134,https://www.firmy.cz/detail/12999364-phdr-eva-otterova-hradec-kralove.html,,matched
Psychiatrická ambulance MUDr. Martina Habrová,Psychiatrická ambulance,"Antonínská 85/II, Dačice I 380 01, Jihočeský kraj",neniemail@nemda.cz,+420384384262,http://www.nemdac.cz/ambulance/psychiatricka-ambulance/,,matched
Psychoterapeut Josef řehák,Psychoterapeutická ambulance,"Nebahovská 1015, Prachatice 383 01, Jihočeský kraj",josef.rehak@iol.cz,+420603254294,https://czap.cz/Sys/PublicProfile/58885403,,unmatched
"AMBULANCE Klinické psychologie, psychiatrie a dětské psychiatrie, adiktologie",Klinický psycholog,"Presslova 449, Dvůr Králové nad Labem 544 01, Královéhradecký kraj",psychiatrie.dvur@seznam.cz,+420725099630,http://www.riaps.cz/ambulance/,,matched
AMBULANCE Klinické psychologie Trutnov,Klinický psycholog,"Procházkova 818, Trutnov 541 01, Královéhradecký kraj",ambulance.trutnov@riaps.cz,,http://www.riaps.cz/ambulance,,matched
CDZ Trutnov (RIAPS Trutnov),CDZ - Centrum duševního zdraví,"Procházkova 818, Trutnov 541 01, Královéhradecký kraj",cdztrutnov@seznam.cz,+420702256762,http://www.riaps.cz/cdz/,,matched
CDZ Kyjov (Fénix),CDZ - Centrum duševního zdraví,"Urbanova 625, Kyjov 697 01, Jihomoravský kraj",info@fenix-centrum.cz,+420602699146,http://www.fenix-centrum.cz/centrum-dusevniho-zdravi,,matched
CDZ Brno I (Práh jižní Morava),CDZ - Centrum duševního zdraví,"Štěpánská 2, Brno-Trnitá (část) 602 00, Jihomoravský kraj",terennitym@prah-brno.cz,+420733643379,https://www.cdz-brno.cz/,,matched
CDZ Brno II (Práh jižní Morava),CDZ - Centrum duševního zdraví,"Jugoslávská 17, Zábrdovice (Brno-sever) (část) 613 00, Jihomoravský kraj",cdz@pnbrno.cz,+420737390737,https://www.pnbrno.cz/centrum-dusevniho-zdravi/,,matched
CDZ Havlíčkův Brod (Fokus Vysočina),CDZ - Centrum duševního zdraví,"Havlíčkova 2034, Havlíčkův Brod 580 01, Kraj Vysočina",marketa.tumova@fokusvysocina.cz,+420775151495,http://www.fokusvysocina.cz/centrum-dusevniho-zdravi,,matched
CDZ Přerov (Psychosociální centrum Přerov),CDZ - Centrum duševního zdraví,"Kosmákova 44, Přerov I-Město 750 02, Olomoucký kraj",tym@cdzprerov.cz,+420583035220,https://www.psyche.cz/cdz,,matched
CDZ Cheb (Fokus MB),CDZ - Centrum duševního zdraví,"Mánesova 265/13, Cheb 350 02, Karlovarský kraj",skalicka@fokus-mb.cz,+420775562065,www.fokus-mb.cz,https://www.fokus-mb.cz,matched
CDZ Karlovy Vary (Fokus MB),CDZ - Centrum duševního zdraví,"Plzeňská 1445/11, Karlovy Vary 360 01, Karlovarský kraj",forejtkova@fokus-mb.cz,+420777365237,www.fokus-mb.cz,https://www.fokus-mb.cz,matched
CDZ Jihlava (VOR Jihlava),CDZ - Centrum duševního zdraví,"Komenského 36, Jihlava (část) 586 01, Kraj Vysočina",cdz@pnj.cz,+420604291474,https://www.vorjihlava.cz/cdz_jihlava/informace,,matched
Psychocentrum - manželská a rodinná poradna Třebíč,Psychoterapeutická ambulance,"Karlovo náměstí 30/41, Třebíč 674 01, Kraj Vysočina",poradna.tr@psychocentrum.cz,+420704619459,https://www.psychocentrum.cz/,,matched
CDZ Klatovy (Ledovec),CDZ - Centrum duševního zdraví,"Pod Nemocnicí 789, Klatovy I 339 01, Plzeňský kraj",cdzklatovy@ledovec.cz,+420603111542,https://www.ledovec.cz/centrum-dusevniho-zdravi/cdz-klatovy,,matched
CDZ Plzeň (Ledovec),CDZ - Centrum duševního zdraví,"Karolíny Světlé 463/13, Plzeň 1-Bolevec (část) 323 00, Plzeňský kraj",cdz@ledovec.cz,,https://www.ledovec.cz/centrum-dusevniho-zdravi/cdz-plzen,,unmatched
Centrum duševního zdraví a komunitní centrum Tábor,CDZ - Centrum duševního zdraví,"Mostecká 2087, Tábor (část) 390 02, Jihočeský kraj",fokustabor@fokustabor.cz,+420731209156,http://www.fokustabor.cz/centrum-dusevniho-zdravi-_-komunitni-tym-tabor,,matched
CDZ Strakonice (Fokus Písek),CDZ - Centrum duševního zdraví,"Lidická 1081, Strakonice I 386 01, Jihočeský kraj",cdz.strakonice@fokus-pisek.cz,+420778061769,https://www.fokus-pisek.cz/cdz-strakonice/,,matched
CDZ Mladá Boleslav (Fokus MB),CDZ - Centrum duševního zdraví,"čechova 635/11, Mladá Boleslav I 293 01, Středočeský kraj",svancarova@fokus-mb.cz,+420778449584,https://www.pnkosmonosy.cz/cdz.html,,matched
CDZ Kroměříž (CSP Zlín),CDZ - Centrum duševního zdraví,"Mánesova 3880, Kroměříž 767 01, Zlínský kraj",info@cdzkm.cz,,http://www.cdzkm.cz/,,matched
CDZ Pardubice (PDZ),CDZ - Centrum duševního zdraví,"Bělehradská 389, Pardubice-Staré Město 530 02, Pardubický kraj",pdz-pce@pdz.cz,+420777454573,http://www.pdz.cz/czd-pa.html,,matched
"CDZ Podskalí, Praha (Fokus Praha)",CDZ - Centrum duševního zdraví,"Vnislavova 48/4, Nusle (Praha 2) (část) 120 00, Hlavní město Praha",cdzpodskali@fokus-praha.cz,+420774804923,https://fokus-praha.cz/cz/pomahame/centrum-podskali/cdz-podskali,,matched
CDZ Praha 6 (Fokus Praha),CDZ - Centrum duševního zdraví,"Nad Alejí 1881/29, Bubeneč (Praha 6) 160 00, Hlavní město Praha",cdz6@fokus-praha.cz,+420770152223,https://www.fokus-praha.cz/cz/pomahame/centrum-brevnov/cdz6#prvni-navsteva,,matched
"CDZ ESET, Praha (ESET, Psychoterapeutická a psychosomatická klinika)",CDZ - Centrum duševního zdraví,"Brigádníků 556/353, Strašnice (Praha 10) (část) 100 00, Hlavní město Praha",cdz@cdzeset.cz,+420224316135,https://www.cdzeset.cz/,,matched
CDZ Praha 8 (Fokus Praha),CDZ - Centrum duševního zdraví,"Dolákova 24, Bohnice (část) 181 00, Hlavní město Praha",info@cdz8.cz,+420734785000,https://cdz8.cz/,,matched
CDZ Praha 9 (Fokus Praha),CDZ - Centrum duševního zdraví,"Lovosická 440/40, Střížkov (Praha 9) 190 00, Hlavní město Praha",info@cdz9.cz,+420734785106,https://cdz9.cz/,,matched
CDZ Ústí nad Labem (Fokus Labe),CDZ - Centrum duševního zdraví,"Stroupežnického 1372/9, Ústí nad Labem-centrum (část) 400 01, Ústecký kraj",hnizdil@cdz-usteckykraj.cz,+420733184376,https://www.fokuslabe.cz/centra-dusevniho-zdravi/centrum-dusevniho-zdravi-usti-nad-labem/,,matched
CDZ Chomutov (Fokus Labe),CDZ - Centrum duševního zdraví,"Kochova 1185, Chomutov (část) 430 01, Ústecký kraj",hejcova@cdz-usteckykraj.cz,+420730512887,https://www.fokuslabe.cz/centra-dusevniho-zdravi/centrum-dusevniho-zdravi-chomutov/,,matched
"CDZ Brandýsko, Brandýs nad Labem (Fokus Praha)",CDZ - Centrum duševního zdraví,"Fakultní 2488, Brandýs nad Labem 250 01, Středočeský kraj",info@cdz-brandysko.cz,+420734785199,www.cdz-brandysko.cz,https://www.cdz-brandysko.cz,matched
CDZ Olomouc (Společnost Mana),CDZ - Centrum duševního zdraví,"Rokycanova 796/1g, Pavlovičky (část) 772 00, Olomoucký kraj",info@cdzolomouc.cz,+420607252881,https://www.cdzolomouc.cz,,matched
"CDZ Beskydské, Frýdek Místek (Charita Frýdek-Místek)",CDZ - Centrum duševního zdraví,"Elišky Krásnohorské 249, Frýdek 738 01, Moravskoslezský kraj",info@charitafm.cz,+420704600368,https://charitafm.cz/nase-sluzby/pro-nemocne/beskydske-centrum-dusevniho-zdravi/,,matched
CDZ Ostrava,CDZ - Centrum duševního zdraví,"Kafkova 1116/13, Moravská Ostrava (část) 702 00, Moravskoslezský kraj",info@cdzostrava.cz,+420595223166,cdzostrava.cz,,matched
"MUDr. Havlová Helena, MediClinic a.s.",Psychiatrická ambulance,"Nad Stadiónem 484, Vimperk I 385 01, Jihočeský kraj",psychiatrie1-vimperk@ordinace.mediclinic.cz,,https://www.mediclinic.cz/lekar/vimperk-havlova,,unmatched
MUDr. Michal Prokeš,Psychiatrická ambulance,"Široká 436/17, české Budějovice 370 01, Jihočeský kraj",info@mudrprokes.cz,,http://www.mudrprokes.cz/,,matched
MUDr. Markéta Roušalová,Psychiatrická ambulance,"Žižkova tř. 1321/1, české Budějovice 370 01, Jihočeský kraj",marketa.rousalova@seznam.cz,+420383389167,https://www.znamylekar.cz/marketa-rousalova/psychiatr/ceske-budejovice,,matched
Ailia psychiatrická ambulance Písek,Psychiatrická ambulance,"Jungmannova 29, Písek 397 01, Jihočeský kraj",ailia1@centrum.cz,+420608987751,https://alia13.webnode.cz/,,matched
Ailia psychiatrická ambulance Milevsko,Psychiatrická ambulance,"Nádražní 1383, Milevsko 399 01, Jihočeský kraj",ailia1@centrum.cz,+420777110607,https://alia13.webnode.cz/,,matched
MUDr. Radka Kamencová - psychiatrická ambulance s. r. o.,Psychiatrická ambulance,"Velké náměstí 221, Strakonice I 386 01, Jihočeský kraj",mudr.kamencova@gmail.com,+420385340872,https://www.psychiatriestrakonice.cz/,,matched
PhDr. Vladimír Forst,Psychologická ambulance,"Matice školské 17, české Budějovice 370 01, Jihočeský kraj",forst.vladimir@post.cz,+420603895363,https://www.najdipomoc.cz/detail/psycholog/phdr-vladimir-forst/,,matched
Psychocentrum - manželská a rodinná poradna Jihlava,Psychoterapeutická ambulance,"Pod Příkopem 4, Jihlava (část) 586 01, Kraj Vysočina",poradna.ji@psychocentrum.cz,+420567308855,https://www.psychocentrum.cz/,,matched
Psychocentrum - manželská a rodinná poradna Žďár nad Sázavou,Psychoterapeutická ambulance,"Horní 22, Žďár nad Sázavou 3 591 01, Kraj Vysočina",poradna.zr@psychocentrum.cz,+420566621404,https://www.psychocentrum.cz,,matched
Psychocentrum - manželská a rodinná poradna Havlíčkův Brod,Psychoterapeutická ambulance,"Dobrovského 2915, Havlíčkův Brod 580 01, Kraj Vysočina",poradna.hb@psychocentrum.cz,+420734354085,https://www.psychocentrum.cz,,matched
Psychocentrum - manželská a rodinná poradna Pelhřimov,Psychoterapeutická ambulance,"Pražská 127, Pelhřimov 393 01, Kraj Vysočina",poradna.pe@psychocentrum.cz,+420737618913,https://www.psychocentrum.cz,,matched
Psychiatrie Třebíč,Psychiatrická ambulance,"Gen. Sochora 705, Třebíč 674 01, Kraj Vysočina",info@psychiatrietrebic.cz,+420725757122,https://www.psychiatrietrebic.cz,,matched
Ambulance ADIKTA,Psychiatrická ambulance,"Vrchlického 2497/57, Jihlava (část) 586 01, Kraj Vysočina",info@at-ambulance.cz,,http://www.at-ambulance.cz/,,matched
Psychiatrická ambulance - MUDr. Libuše Jonášová,Psychiatrická ambulance,"Masarykova 885, Humpolec 396 01, Kraj Vysočina",ljonasova@centrum.cz,+420565536114,https://www.firmy.cz/detail/13284321-mudr-libuse-jonasova-humpolec.html,,matched
Psychiatrická ambulance - MUDr. Andrea Mašková,Psychiatrická ambulance,"Lánecká 970, Světlá nad Sázavou 582 91, Kraj Vysočina",andrea.maskova@seznam.cz,+420605788109,https://www.psychiatrie-maskova.cz,,matched
"Psychiatrická ambulance - MEDACOL, s.r.o.",Psychiatrická ambulance,"Svatovítské náměstí 880, Pelhřimov 393 01, Kraj Vysočina",psychamb.prochazka.pe@gmail.com,+420565325608,https://psychiatrie-pelhrimov.webnode.cz/,,matched
Klinický psycholog - Nemocnice Třebíč,Psychologická ambulance,"Purkyňovo nám. 133/2, Jejkov 674 01, Kraj Vysočina",info@nem-tr.cz,+420568809370,nem-tr.cz/cze/ambulance/klinicky-psycholog/,,matched
Ambulance klinické psychologie - Nemocnice Havlíčkův Brod,Psychologická ambulance,"Husova 2624, Havlíčkův Brod 580 01, Kraj Vysočina",irena.komendova@onhb.cz,+420569472306,onhb.cz/Article.asp?nDepartmentID=256&nArticleID=341&nLanguageID=1,,matched
Ambulance klinické psychologie - Nemocnice Nové Město na Moravě,Klinický psycholog,"Žďárská 610, Nové Město na Moravě 592 31, Kraj Vysočina",marta.maluskova@nnm.cz,,nnm.cz/ambulance-detail?id=049,,matched
Psychologická ambulance - Mgr. Nora Brátková,Psychologická ambulance,"Jelínkova 991/39, Nové Dvory 674 01, Kraj Vysočina",bratkova@centrum.cz,+420737907291,http://psychologiebratkova.cz/,,matched
Ambulance klinického psychologa - Nemocnice Jihlava,Klinický psycholog,"Vrchlického 4630/59, Jihlava (část) 586 01, Kraj Vysočina",vitekd@nemji.cz,+420567157417,https://nemji.cz/vismo/o_utvar.asp?id_org=427000&id_u=1019&tzv=2&p1=1154,,matched
Ambulance klinické psychologie - PhDr. Silvie Bartošová,Klinický psycholog,"Jahodova 4051, Havlíčkův Brod 580 01, Kraj Vysočina",silviebartosova@centrum.cz,+420604550758,https://silviebartosova.www3.cz,,matched
Psychiatrická ambulance - MUDr. Marie Zrnečková,Psychiatrická ambulance,"Studentská 1699/4, Žďár nad Sázavou 1 591 01, Kraj Vysočina",zrneckova@quick.cz,+420566690224,https://www.firmy.cz/detail/385280-mudr-marie-zrneckova-zdar-nad-sazavou-4.html,,matched
Psychologická ambulance - MUDr. Petr Pokorný,Psychologická ambulance,"Vltavínská 1289/10, Horka-Domky 674 01, Kraj Vysočina",pokorny@trb.cz,+420568808233,https://www.firmy.cz/detail/385443-mudr-petr-pokorny-trebic-horka-domky.html,,matched
Psychiatrická ambulance - MUDr. Leo Procházka,Psychiatrická ambulance,"Dobešovská 1, černovice (část) 394 94, Kraj Vysočina",leo.prochazka@gmail.com,+420565325608,https://www.firmy.cz/detail/13285717-mudr-leo-prochazka-cernovice.html,,matched
Ordinace klinické psychologie PhDr. Adam Chalupníček,Klinický psycholog,"Masarykovo nám. 968, Náměš nad Oslavou 675 71, Kraj Vysočina",adam.chalupnicek@gmail.com,+420777587261,http://www.psychologos.cz/ordinace-klinicke-psychologie-namest-nad-oslavou/#utm_source=firmy.cz&utm_medium=ppd&utm_content=kategorie&utm_term=Psychologick%c3%a9%20a%20psychiatrick%c3%a9%20ordinace%20a%20pracovi%c5%a1t%c4%9b&utm_campaign=firmy.cz-13307684,,matched
