Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka,web,Matched,Source,New Contact,New Matched
Poradna pro poruchy spánku a biorytmů,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",tuma@lfhk.cuni.cz,+420495832360,https://www.fnhk.cz/psych/kliniky-ambulance.html,,new_phone_match,,"['+420495383456', '+420495383456', '+420495441105', '+420495441105', '+420495514515', '+420495514515', '+420495800951', '+420495800951', '+420495800955', '+420495800955', '+420495831111', '+420495831111', '+420495832100', '+420495832100', '+420495832221', '+420495832221', '+420495832317', '+420495832317', '+420495832410', '+420495832410', '+420495832597', '+420495832597', '+420495832874', '+420495832874', '+420495833232', '+420495833232', '+420495833365', '+420495833365', '+420495833746', '+420495833746', '+420495833783', '+420495833783', '+420495833823', '+420495833823', '+420495834933', '+420495834933', '+420495834934', '+420495834934', '+420495837211', '+420495837211']",new_phone_match
Ambulance pro alkoholismus a jiné toxikomanie,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",fnhk@fnhk.cz,+420495833232,https://www.fnhk.cz/psych/kliniky-ambulance.html#utm_source=firmy.cz&utm_medium=ppd&utm_content=kategorie&utm_term=Psychiatrick%c3%a9%20ambulance&utm_campaign=firmy.cz-12989534,,matched,scraped_contacts_telefon,,
Ambulantní péče o osoby s duševním onemocněním,Psychiatrická ambulance,"Klicperova 6, Hořice 508 01, Královéhradecký kraj",horice@vaspsychiatr.cz,,www.vaspsychiatr.cz,https://www.vaspsychiatr.cz,unmatched,,,
"Psychiatrická ambulance - EGOMED, s.r.o.",Psychiatrická ambulance,"Dr. Ed. Beneše 191, Jaroměř 551 01, Královéhradecký kraj",cernikovalenka@email.cz,+420725811963,https://www.firmy.cz/detail/12844251-egomed-jaromer-prazske-predmesti.html,,matched,scraped_contacts_telefon,,
"Psychiatrická ambulance Hradec Králové - EGOMED, s.r.o.",Psychiatrická ambulance,"Tomkova 181/9, Hradec Králové (část) 500 03, Královéhradecký kraj",cernikovalenka@email.cz,+420725811963,https://www.firmy.cz/detail/12844248-egomed-hradec-kralove.html,,matched,scraped_contacts_telefon,,
Psychiatrická ambulance MUDr. Kateřiny Konupčíkové - Hradec Králové,Psychiatrická ambulance,"Ulrichovo náměstí 762, Hradec Králové (část) 500 02, Královéhradecký kraj",ambulance@psychiatrie-konupcikova.cz,+420608971030,http://www.psychiatrie-konupcikova.cz/kontakt.htm,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
Psychiatrická ambulance MUDr. Kateřiny Konupčíkové - Vrchlabí,Psychiatrická ambulance,"Komenského 63, Vrchlabí (část) 543 01, Královéhradecký kraj",ambulance@psychiatrie-konupcikova.cz,+420608971030,www.psychiatrie-konupcikova.cz,https://www.psychiatrie-konupcikova.cz,matched,"scraped_contacts_email, scraped_contacts_telefon",,
Psychiatrická ambulance pro děti a mladistvé,Psychiatrická ambulance,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",hanusovaa@lfhk.cuni.cz,+420495833746,https://www.fnhk.cz/psych/kliniky-ambulance.html,,matched,scraped_contacts_telefon,,
Psychoterapeutické centrum MUDr. Elena Křivková,Psychoterapeutická ambulance,"Velké náměstí 149, Hradec Králové (část) 500 03, Královéhradecký kraj",poradna@psycholog-hradec-kralove.cz,+420603997033,https://firmy.hradeckralove.cz/firma-psychoterapeuticke-centrum-mudr-elena-krivkova-33806/#ixzz6jVYeQm5u,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Psychiatr MUDr. Ludmila Dušková,Psychiatrická ambulance,"Horní 180, Prachatice 383 01, Jihočeský kraj",taduskova@centrum.cz,+420388316762,https://www.asertivita.com/,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Psychoterapeutické centrum MUDr. Elena Křivková,Psychoterapeutická ambulance,"Palackého 201, Trutnov 541 01, Královéhradecký kraj",poradna@psycholog-hradec-kralove.cz,+420603997033,psycholog-hradec-kralove.cz,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
MUDr. Jaroslav Poláček - Ordinace psychiatra,Psychiatrická ambulance,"Palackého 201, Trutnov 541 01, Královéhradecký kraj",j.polacek@worldonline.cz,+420499850770,https://www.netfirmy.cz/firma/6757-polacek-jaroslav-mudr/,,new_phone_match,,"['+420269462662', '+420777714121']",new_phone_match
Mgr. Veronika Galusová - Psychologická poradna,Psychologická ambulance,"Pražská třída 649/45, Hradec Králové (část) 500 04, Královéhradecký kraj",galusova.veronika@email.cz,+420778048819,https://veronikagalusova.cz,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
PhDr. Jana Mervartová - Psychologická poradna,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",proximity.ps@tiscali.cz,+420465557563,proximity.unas.cz,,unmatched,,,
Mgr. Dagmar Jakubská - Soukromá psychologická praxe,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",dagmar.jakubska@seznam.cz,+420777819645,http://www.psycholog-hk.cz/,,unmatched,,,
"KAIROS - Centrum krizové intervence, psychoterapie a hypnoterapie",Psychoterapeutická ambulance,"československé armády 282/15, Hradec Králové (část) 500 03, Královéhradecký kraj",info@kairos-hk.cz,+420725340204,http://kairos-hk.cz/nabizene-sluzby/,,unmatched,,,
Mgr. René Hůlek - Psychologická poradna,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",rene@hulek.cz,+420608970783,https://search.seznam.cz/?q=psycholog+hradec+kr%C3%A1lov%C3%A9&oq=psycholog+Hradec+&aq=1&sourceid=top&thru=sugend&sId=puFsObCO0i8VnJrk8ZoV&sgId=MTA5Nzc3MzkgMTYxMDk2ODAxNS42NzA%3D&overlay_type&overlay_id,,unmatched,,,
EEG - Biofeedback,Psychologická ambulance,"Machkova 587/42, Hradec Králové (část) 503 11, Královéhradecký kraj",noskovi.hk@gmail.com,,www.eeg-biofeedback-hradec.cz,https://www.eeg-biofeedback-hradec.cz,unmatched,,,
Mgr. Martin Brož - Psychologická poradna,Psychologická ambulance,"Velké náměstí 19/29, Hradec Králové (část) 500 03, Královéhradecký kraj",martinbroz@mb-psychoterapie.cz,+420721710198,mb-psychoterapie.cz,,unmatched,,,
Mgr. Lenka Půlpánová - Psychologická poradna,Psychologická ambulance,"Veverkova 1343/1, Hradec Králové (část) 500 02, Královéhradecký kraj",pulpanova@psychoporadnahk.cz,+420732170292,psychoporadnahk.cz,,matched,scraped_contacts_telefon,,
Psychoterapeutická poradna TERAPEUTOVNA,Psychoterapeutická ambulance,"S. K. Neumanna 250/4, Hradec Králové (část) 500 02, Královéhradecký kraj",psychoterapeutovna@gmail.com,+420775727068,www.psycholozkazpatehopatra.cz,https://www.psycholozkazpatehopatra.cz,unmatched,,,
Mgr. Lucie Blažková - Psychologická poradna,Psychologická ambulance,"Horova 36/29, Hradec Králové (část) 500 02, Královéhradecký kraj",psychologhk.blazkova@gmail.com,+420737988290,www.psychologicka-poradna-hk.cz,https://www.psychologicka-poradna-hk.cz,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Mgr. Denisa Hatáková - Psychologická poradna,Psychologická ambulance,"Horova 36/29, Hradec Králové (část) 500 02, Královéhradecký kraj",psycholog.hatakova@gmail.com,+420724931027,www.psycholog-hatakova.cz,https://www.psycholog-hatakova.cz,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Psycholog Mgr. et Mgr. Radka Minaříková,Psychologická ambulance,"Střelecká 45/2, Hradec Králové (část) 500 02, Královéhradecký kraj",radka.minarikova@post.cz,+420775266244,https://radkaminarikova.webnode.cz,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Manželská poradna - Hradec Králové,Psychologická ambulance,"Divišova 829/2, Hradec Králové (část) 500 03, Královéhradecký kraj",poradna.hk@csps-hk.cz,+420607248533,csps-hk.cz,,new_email_match,,"['csps.hk@csps-hk.cz', 'csps.hk@csps-hk.cz']",new_email_match
Manželská poradna Jičín,Psychologická ambulance,"Denisova 585, Jičín-Dvorce 506 01, Královéhradecký kraj",poradna.jc@seznam.cz,+420606963057,https://www.csps-hk.cz/,,new_email_match,,['csps.hk@csps-hk.cz'],new_email_match
Manželská poradna Náchod,Psychologická ambulance,"Hálkova 432, Náchod 547 01, Královéhradecký kraj",rod.poradna@csps-hk.cz,+420728934183,https://www.csps-hk.cz/,,matched,maps_contacts_telefon,,
Manželská poradna Rychnov nad Kněžnou,Psychologická ambulance,"Javornická 1501, Rychnov nad Kněžnou 516 01, Královéhradecký kraj",poradna@psycholog-rychnov.cz,+420733676799,https://www.csps-hk.cz/,,matched,maps_contacts_telefon,,
Psychiatrická ambulance Pateb Jemnice,Psychiatrická ambulance,"Budějovická 625, Jemnice 675 31, Kraj Vysočina",pateb@pateb.cz,+420565303237,http://www.pateb.cz,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
Mgr. Romana Svíbová - tvuj-terapeut.cz,Psychologická ambulance,"československé armády 287/19, Hradec Králové (část) 500 03, Královéhradecký kraj",info@tvuj-terapeut.cz,+420775505315,tvuj-terapeut.cz,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
"AKAP centrum, s.r.o.",Psychologická ambulance,"V Kopečku 163/19, Hradec Králové (část) 500 03, Královéhradecký kraj",akapcentrum@gmail.com,+420603739658,asistovanekontakty.cz,,unmatched,,,
PaedDr. Jaroslava Honegrová - Psychologická poradna,Psychologická ambulance,"Boční 273/14, Hradec Králové (část) 503 11, Královéhradecký kraj",j.honegrova@seznam.cz,+420606484975,terapie-poradenstvi.wz.cz,,matched,maps_contacts_telefon,,
Mgr. Zuzana říhová - Psychologická poradna,Psychologická ambulance,"S. K. Neumanna 250/4, Hradec Králové (část) 500 02, Královéhradecký kraj",zuzana.lenderova.rihova@gmail.com,+420774830975,https://zuzanarihova.lender.cz,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
"Dr. Jan Vyhnálek Ph.D., psycholog",Psychologická ambulance,"náměstí 5. května 286/3, Hradec Králové (část) 500 02, Královéhradecký kraj",vyhnalekj@gmail.com,+420775249886,www.cpduha.cz,https://www.cpduha.cz,matched,"maps_contacts_telefon, scraped_contacts_telefon",,
PhDr. Dana Dobiášová - Klinický psycholog a psychoterapeut,Psychologická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",dana.dobiasova@centrum.cz,+420731171454,www.psy-dobiasova.cz,https://www.psy-dobiasova.cz,matched,"scraped_contacts_email, scraped_contacts_telefon",,
MUDr. Lubomír Hadaš - Psychoterapie,Psychoterapeutická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",lubomir.hadas@seznam.cz,+420605714948,https://www.firmy.cz/detail/479833-mudr-lubomir-hadas-hradec-kralove.html,,matched,scraped_contacts_telefon,,
Magdaléna Datková - Ordinace klinické psychologie,Klinický psycholog,"Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj",datkova@seznam.cz,+420495833842,https://www.firmy.cz/detail/2258616-magdalena-datkova-hradec-kralove-novy-hradec-kralove.html,,matched,scraped_contacts_telefon,,
Mgr. Martina Cibulková - Psychoterapie,Psychoterapeutická ambulance,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",martina.cibulka@seznam.cz,+420736788346,www.psychoterapiehk.cz,https://www.psychoterapiehk.cz,matched,"maps_contacts_telefon, scraped_contacts_telefon",,
Psychoterapie - Mgr. Radka Brůnová,Psychoterapeutická ambulance,"Lochenice 23, Lochenice 503 02, Královéhradecký kraj",radkabrunova@seznam.cz,+420736190725,psychoterapiehradeckralove.cz,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Psychiatrická ordinace MUDr. Aleš Michálek,Psychiatrická ambulance,"Nemocniční 429, český Krumlov 381 01, Jihočeský kraj",,+420380714767,http://www.nemckr.cz/index.php/cs/ambulance/soukr-ordinace/psychiatrie,,unmatched,,,
"Mgr. Marek Vít - Ambulance klinické psychologie, psychoterapie a homeopatie",Klinický psycholog,"Na Chocholouši 409, Hronov (část) 549 31, Královéhradecký kraj",vitm@post.cz,+420777052569,psychosomatika.info,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
Scintilla - jiskra duše,Psychologická ambulance,"Kamenice 113, Náchod 547 01, Královéhradecký kraj",iva@jiskraduse.cz,+420724879797,www.jiskraduse.cz,https://www.jiskraduse.cz,matched,maps_contacts_telefon,,
"PhDr. Eva Otterová - Klinický psycholog, psychoterapeut",Klinický psycholog,"Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj",eva.otterova@seznam.cz,+420774230134,https://www.firmy.cz/detail/12999364-phdr-eva-otterova-hradec-kralove.html,,matched,scraped_contacts_telefon,,
Psychiatrická ambulance MUDr. Martina Habrová,Psychiatrická ambulance,"Antonínská 85/II, Dačice I 380 01, Jihočeský kraj",neniemail@nemda.cz,+420384384262,http://www.nemdac.cz/ambulance/psychiatricka-ambulance/,,new_email_match,,['211info@nemda.cz'],new_email_match
Psychoterapeut Josef řehák,Psychoterapeutická ambulance,"Nebahovská 1015, Prachatice 383 01, Jihočeský kraj",josef.rehak@iol.cz,+420603254294,https://czap.cz/Sys/PublicProfile/58885403,,matched,scraped_contacts_telefon,,
"AMBULANCE Klinické psychologie, psychiatrie a dětské psychiatrie, adiktologie",Klinický psycholog,"Presslova 449, Dvůr Králové nad Labem 544 01, Královéhradecký kraj",psychiatrie.dvur@seznam.cz,+420725099630,http://www.riaps.cz/ambulance/,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
AMBULANCE Klinické psychologie Trutnov,Klinický psycholog,"Procházkova 818, Trutnov 541 01, Královéhradecký kraj",ambulance.trutnov@riaps.cz,,http://www.riaps.cz/ambulance,,matched,scraped_contacts_email,,
CDZ Trutnov (RIAPS Trutnov),CDZ - Centrum duševního zdraví,"Procházkova 818, Trutnov 541 01, Královéhradecký kraj",cdztrutnov@seznam.cz,+420702256762,http://www.riaps.cz/cdz/,,matched,"scraped_contacts_email, scraped_contacts_telefon",,
CDZ Kyjov (Fénix),CDZ - Centrum duševního zdraví,"Urbanova 625, Kyjov 697 01, Jihomoravský kraj",info@fenix-centrum.cz,+420602699146,http://www.fenix-centrum.cz/centrum-dusevniho-zdravi,,matched,"maps_contacts_telefon, scraped_contacts_email",,
CDZ Brno I (Práh jižní Morava),CDZ - Centrum duševního zdraví,"Štěpánská 2, Brno-Trnitá (část) 602 00, Jihomoravský kraj",terennitym@prah-brno.cz,+420733643379,https://www.cdz-brno.cz/,,matched,scraped_contacts_telefon,,
CDZ Brno II (Práh jižní Morava),CDZ - Centrum duševního zdraví,"Jugoslávská 17, Zábrdovice (Brno-sever) (část) 613 00, Jihomoravský kraj",cdz@pnbrno.cz,+420737390737,https://www.pnbrno.cz/centrum-dusevniho-zdravi/,,matched,scraped_contacts_telefon,,
CDZ Havlíčkův Brod (Fokus Vysočina),CDZ - Centrum duševního zdraví,"Havlíčkova 2034, Havlíčkův Brod 580 01, Kraj Vysočina",marketa.tumova@fokusvysocina.cz,+420775151495,http://www.fokusvysocina.cz/centrum-dusevniho-zdravi,,new_contact_both_match_with_email,,"['+420569421845', 'milena.necasova@fokusvysocina.cz', 'marketa.krivankova@fokusvysocina.cz', 'novo.mar@seznam.cz', 'martin.rajdlik@fokusvysocina.cz', 'martina.jezkova@fokusvysocina.cz', 'radka.jonakova@fokusvysocina.cz', 'lenka.hermanova@fokusvysocina.cz', 'vlasta.teclova@fokusvysocina.cz', 'komunitni.tym.pe@fokusvysocina.cz', 'jana.horynova@fokusvysocina.cz', 'prusa@chotebor.cz', 'jana.smith@fokusvysocina.cz', 'rostislav.horek@fokusvysocina.cz', 'lucie.hazmukova@fokusvysocina.cz', 'dc.humpolec@fokusvysocina.cz', 'pavel@phmedia.cz', 'sarka.bernardova@fokusvysocina.cz', 'ludmila.nenadalova@fokusvysocina.cz', 'jana.pavlasova@fokusvysocina.cz', 'lucie.solcova@fokusvysocina.cz', 'jaroslav.kerous@fokusvysocina.cz', 'dilny.pelhrimov@fokusvysocina.cz', 'jitka.klepetkova@fokusvysocina.cz', 'fokus.vysocina@fokusvysocina.cz', 'bozp@fokusvysocina.cz', 'anna.jurackova@fokusvysocina.cz', 'ales.vrbicky@fokusvysocina.cz', 'lucie.myskova@fokusvysocina.cz', 'pavlina.zakova@fokusvysocina.cz', 'lucie.kunstova@fokusvysocina.cz', 'lucie.wasserbauerova@fokusvysocina.cz', 'barbora.jandova@fokusvysocina.cz', 'eva.zamecnikova@fokusvysocina.cz', 'katerina.kovacova@fokusvysocina.cz', 'jakub.kriz@fokusvysocina.cz', 'eliska.hejtmankova@fokusvysocina.cz', 'pavlina.blahova@fokusvysocina.cz', 'zdenka.kalinova@fokusvysocina.cz', 'petr.vacha@fokusvysocina.cz', 'petr.krepcik@fokusvysocina.cz', 'sarka.rihova@fokusvysocina.cz', 'chranene.bydleni.hb@fokusvysocina.cz', 'stredisko.hb@fokusvysocina.cz', 'pavlina.strasilova@fokusvysocina.cz', 'lucie.motlova@fokusvysocina.cz', 'pavlina.hejskova@fokusvysocina.cz', 'jitka.fuitova@fokusvysocina.cz', 'marie.smidova@fokusvysocina.cz', 'marie.houskova@fokusvysocina.cz', 'hlinsko@fokusvysocina.cz', 'lucie.flesarova@fokusvysocina.cz', 'dc.pelhrimov@fokusvysocina.cz', 'marketa.hegerova@fokusvysocina.cz', 'simona.cardova@fokusvysocina.cz', 'nada.offenbartlova@fokusvysocina.cz', 'jana.buresova@fokusvysocina.cz', 'edita.veselkova@fokusvysocina.cz', 'sklad@fokusvysocina.cz', 'lenka.chalupova@fokusvysocina.cz', 'stredisko.pelhrimov@fokusvysocina.cz', 'lenka.kopecna@fokusvysocina.cz', 'zdenka.ryskova@fokusvysocina.cz', 'ch.os.asistence@fokusvysocina.cz', 'marek.stencel@fokusvysocina.cz', 'cukrarna.hlinsko@fokusvysocina.cz', 'michaela.urbankova@fokusvysocina.cz', 'martina.placha@fokusvysocina.cz', 'petra.kocerova@fokusvysocina.cz', 'projekty@fokusvysocina.cz', 'jana.fialova@fokusvysocina.cz', 'martina.stara@fokusvysocina.cz', 'veronika.kvicalova@fokusvysocina.cz', 'karolina.rydlova@fokusvysocina.cz', 'hana.hospodkova@fokusvysocina.cz', 'vendula.safrhansova@fokusvysocina.cz', 'komunitni.tym.hb@fokusvysocina.cz', 'veronika.kvasova@fokusvysocina.cz', 'alena.konirova@fokusvysocina.cz', 'bistro@fokusvysocina.cz', 'hana.sedlakova@fokusvysocina.cz', 'nikola.vodvarkova@fokusvysocina.cz', 'chotebor@fokusvysocina.cz', 'jana.vondrova@fokusvysocina.cz', 'burian.david73@gmail.com', 'alexandra.ostra@fokusvysocina.cz', 'jiri.madlo@fokusvysocina.cz', 'dc.hl@fokusvysocina.cz', 'dc.havlickuvbrod@fokusvysocina.cz', 'stacionar@fokusvysocina.cz', 'cdzhb@fokusvysocina.cz', 'martin.fuit@fokusvysocina.cz', 'anna.simonova@fokusvysocina.cz', 'eliska.zezulakova@fokusvysocina.cz', 'nikol.mundelova@fokusvysocina.cz', 'marcela.fiserova@fokusvysocina.cz', 'martina.dolezalova@fokusvysocina.cz', 'martina.veletova@fokusvysocina.cz', 'silvie.rokosova@fokusvysocina.cz', 'ruzena.plavcova@fokusvysocina.cz', 'denisa.vrba@seznam.cz', 'jana.leblova@fokusvysocina.cz', 'vladimir.jasceg@fokusvysocina.cz', 'std.chotebor@fokusvysocina.cz', 'veronika.sokolova@fokusvysocina.cz']",new_contact_both_match_with_email
CDZ Přerov (Psychosociální centrum Přerov),CDZ - Centrum duševního zdraví,"Kosmákova 44, Přerov I-Město 750 02, Olomoucký kraj",tym@cdzprerov.cz,+420583035220,https://www.psyche.cz/cdz,,matched,"maps_contacts_telefon, scraped_contacts_telefon, scraped_contacts_email",,
