Unnamed: 0,Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka,Valid Web,Web Validation,Matched,Notes,Source,New Contact,New Matched,web
131,Občanská poradna Liberec - pracoviště česká Lípa,Odborné sociální poradenství,"Wolkerova 446, česká Lípa (část) 470 01, Liberecký kraj",poradna.ceskalipa@d-os.net,+420608477657,www.d-os.net,https://d-os.net/o-nas/kontakty,https://d-os.net/o-nas/kontakty,unmatched,,,,,https://www.d-os.net
132,Občanská poradna Liberec - kontaktní pracoviště Turnov,Odborné sociální poradenství,"Žižkova 2031, Turnov 511 01, Liberecký kraj",poradna.turnov@d-os.net,+420777323156,www.d-os.net,https://d-os.net/o-nas/kontakty,https://d-os.net/o-nas/kontakty,unmatched,,,,,https://www.d-os.net
136,Občanská poradna Liberec - kontaktní pracoviště Jilemnice,Odborné sociální poradenství,"Dolení 64, Jilemnice 514 01, Liberecký kraj",poradna.jilemnice@d-os.net,+420776331112,www.d-os.net,https://d-os.net/o-nas/kontakty,https://d-os.net/o-nas/kontakty,matched,,scraped_contacts_telefon,,,https://www.d-os.net
138,Bezplatná poradna mezi paragrafy (český Krumlov),Odborné sociální poradenství,"5. května 251, český Krumlov 381 01, Jihočeský kraj",pravni.poradenstvi@krumlov.cz,+420774110124,http://poradna.krumlov.cz/w/-310/,https://poradna.icosck.cz/kontakt,https://poradna.icosck.cz/kontakt,matched,"tady je novej web, mají stejný udaje s těmito v souboru","scraped_contacts_telefon, scraped_contacts_email",,,
146,"Manželská a rodinná poradna PorCeTa, o.p.s.",Odborné sociální poradenství,"Smetanova 1284/32, Tábor (část) 390 02, Jihočeský kraj",horecka@porceta.cz,+420777882002,http://www.porceta.cz,https://porceta.cz/kontakt/,https://porceta.cz/kontakt/,unmatched,,,,,
155,Bezplatná poradna mezi paragrafy (Kaplice),Odborné sociální poradenství,"Náměstí 70, Kaplice 382 41, Jihočeský kraj",pravni.poradenstvi@krumlov.cz,+420774110124,http://poradna.krumlov.cz/w/pobocky-ckrumlov-kaplice-vetrni-215/,https://poradna.icosck.cz/kontakt,https://poradna.icosck.cz/kontakt,matched,,"scraped_contacts_telefon, scraped_contacts_email",,,
165,Bezplatná poradna mezi paragrafy (Trhové Sviny),Odborné sociální poradenství,"Žižkovo náměstí 40, Trhové Sviny 374 01, Jihočeský kraj",pravni.poradenstvi@krumlov.cz,+420774110124,http://poradna.krumlov.cz/w/pobocky-tsviny-nhrady-218/,https://poradna.icosck.cz/kontakt,https://poradna.icosck.cz/kontakt,matched,,"scraped_contacts_telefon, scraped_contacts_email",,,
168,Bezplatná poradna mezi paragrafy (Nové Hrady),Odborné sociální poradenství,"Nové Hrady 244, Nové Hrady (část) 373 33, Jihočeský kraj",pravni.poradenstvi@krumlov.cz,+420774110124,http://poradna.krumlov.cz/w/pobocky-tsviny-nhrady-218/,https://poradna.icosck.cz/kontakt,https://poradna.icosck.cz/kontakt,matched,,"scraped_contacts_telefon, scraped_contacts_email",,,
176,Poradna Sv. Rity - odborné sociální poradenství,Odborné sociální poradenství,"Nový Hrozenkov 504, Nový Hrozenkov 756 04, Zlínský kraj",poradna@nhrozenkov.charita.cz,,https://www.nhrozenkov.charita.cz/kontakty/?s=poradna-sv-rity,https://www.nhrozenkov.charita.cz/kontakty/?o=charita-novy-hrozenkov,https://www.nhrozenkov.charita.cz/kontakty/?o=charita-novy-hrozenkov,unmatched,,,,,
183,Občanská poradna Charity Zlín,Odborné sociální poradenství,"Zálešná I 4057, Zlín (část) 760 01, Zlínský kraj",poradna@zlin.charita.cz,,https://www.zlin.charita.cz/adresar/?s=odborne-socialni-a-dluhove-poradenstvi#directory-detail,https://www.zlin.charita.cz/adresar/?s=odborne-socialni-a-dluhove-poradenstvi#directory-detail,https://www.zlin.charita.cz/adresar/?s=odborne-socialni-a-dluhove-poradenstvi#directory-detail,unmatched,"Mail i web sedí, telefony jsem našel dva: 739 245 973, 739 245 974",,,,
189,"Logos - poradna pro děti, dospívající a jejich rodiče",Odborné sociální poradenství,"Pod Stráněmi 2505, Zlín (část) 760 01, Zlínský kraj",eliasova@unko.cz,,https://www.unko.cz/,https://www.unko.cz/,https://www.unko.cz/,unmatched,"Hodně bizarně vypadající web :D Kontakty jsou hned v hlavičce, možná je to problém  dotazy@unko.cz    577 434 428",,,,
201,Pedagogicko-psychologická poradna pro Prahu 3,Pedagogicko-psychologické poradny,"Lucemburská 1856/40, Žižkov, 130 00 Praha 3",poradna3@ppp3.cz,+420702087107,http://ppp3a9.cz/,https://www.ppp3.cz/,https://www.ppp3.cz/,matched,"Obojí by mělo být matched, web byl špatně","scraped_contacts_telefon, scraped_contacts_email",,,
203,Pedagogicko-psychologická poradna pro Prahu 9,Pedagogicko-psychologické poradny,"Mochovská 570/41, 198 00 Praha 9 – Hloubětín",hloubetin@ppp9.cz,+420222524209,https://ppp9.cz/,https://ppp9.cz/hloubetin/,https://ppp9.cz/hloubetin/,matched,Mají to schované pod kontakty -> hloubetin; obojí matched,"scraped_contacts_telefon, scraped_contacts_email",,,
206,Školské poradenské zařízení – SPC a PPP,Pedagogicko-psychologické poradny,"Váňova 3180, 272 01 Kladno",mdrdova@spzkolobezka.cz,,http://www.spzkolobezka.cz/,https://www.spzkolobezka.cz/?page_id=28,https://www.spzkolobezka.cz/?page_id=28,matched,"telefon nemají, email sedí, v menu je to kontakt, v url ne, zřejmě nějakej slepenej wordpress web",scraped_contacts_email,,,
208,"Pedagogicko-psychologická poradna, České Budějovice, Nerudova 59",Pedagogicko-psychologické poradny,"Nerudova 859/59, České Budějovice 3, 370 04 České Budějovice",poradna.info@pppcb.cz,+420723392134,https://www.pppcb.cz/,https://www.pppcb.cz/ceske-budejovice,https://www.pppcb.cz/ceske-budejovice,matched,"obojí matched, mají více poboček na které jsou pak jednotlivé stránky s kontakty","scraped_contacts_telefon, scraped_contacts_email",,,
210,"Gymnázium J. G. Mendela a jeho zařízení a Základní umělecká škola, školská právnická osoba",Pedagogicko-psychologické poradny,"Voroněžská 2566/5, Žabovřesky, 616 00 Brno",ppp@skolskykomplex.cz,,https://www.skolskykomplex.cz/g-jgm/,https://www.skolskykomplex.cz/ppp/kontakt/,https://www.skolskykomplex.cz/ppp/kontakt/,matched,"Jen takhle sedí mail, mají i telefony: +420 543 216 135; +420 775 211 793",scraped_contacts_email,,,
217,"Fokus Liberec, o. s., Myklub Liberec, Klub duševního zdraví Česká Lípa",Organizace uživatelů péče,"Nezvalova 662, 460 15 Liberec 15",fokus-rehabilitace@volny.cz,,http://www.fokuslbc.eu/,https://www.fokusliberec.cz/stranky/94/kontakty.html,https://www.fokusliberec.cz/stranky/94/kontakty.html,unmatched,"Nový web; mail není matched, je potřeba manuální vstup",,,,
225,"Česká společnost pro duševní zdraví, pobočka Mladá Boleslav, o. s.",Organizace uživatelů péče,"Nový park 1262, 293 01 Mladá Boleslav",ceska.spolecnost@telecom.cz,,http://www.fokus-mb.cz/klubko,https://www.fokus-mb.cz/kontakt/,https://www.fokus-mb.cz/kontakt/,unmatched,"Mnoho kontaktů, žádný match, manuální vstup nutný",,,,
226,K – centrum Cheb,Krizová centra - pro děti a mládež,"Kostelní nám. 15, Cheb, 35002",asistentka@kotec.cz,asistentka@kotec.cz,http://www.kotec.cz/regiony/cheb/kontaktni-centrum/,http://www.kotec.cz/regiony/cheb/kontaktni-centrum/,http://www.kotec.cz/regiony/cheb/kontaktni-centrum/,new_email_match,"Web je v pořádku, ale nemáme ani telefon, ani mail tudíž není co matchovat :D vs.kc.cheb@kotec.cz + 739 285 102 nebo kc.cheb@kotec.cz + 739 570 108
",,"['asistentka@kotec.cz', 'kc.cheb@kotec.cz', 'cpr.cheb@kotec.cz', 'cpr.as@kotec.cz', 'vs.tp.tachov@kotec.cz', 'nzdm.sokolov@kotec.cz', 'mzdy@kotec.cz', 'klub.relax@kotec.cz', 'vs.nzdm.ml@kotec.cz', 'ndc.tachov@kotec.cz', 'cpr.sokolov@kotec.cz', 'klubvaute@kotec.cz', 'projekty@kotec.cz', 'tp.cheb@kotec.cz', 'tp.sokolov@kotec.cz', 'cpr.ml@kotec.cz', 'cpr.tachov@kotec.cz', 'klub.restart@kotec.cz', 'vs.kc.cheb@kotec.cz', 'tp.tachov@kotec.cz', 'vs.tp.sokolov@kotec.cz', 'kc.sokolov@kotec.cz']",new_email_match,
236,Centrum J. J. Pestalozziho Jihlava Krizové centrum,Krizová centra - pro děti a mládež,Štefanikovo nám. 1972/2 586 01 Jihlava,kcji@pestalozzi.cz,+420567155028,https://pestalozzi.cz/sluzby/krizove-centrum-jihlava/,https://pestalozzi.cz/sluzby/krizove-centrum-jihlava/,https://pestalozzi.cz/sluzby/krizove-centrum-jihlava/,matched,"Web cajk, email matched, telefon potřeba manuálně
",scraped_contacts_email,,,
238,La Strada - Informační a SOS linka,Telefonická krizová pomoc - pro děti a mládež,"P.O.BOX 305, 111 21 Praha 1",pomoc@strada.cz,+420222717171,http://www.strada.cz/,https://www.strada.cz/hledam-pomoc/,https://www.strada.cz/hledam-pomoc/,matched,"web má rozcestník hned na začátku, email ani číslo není matched -> zvládneme automaticky","scraped_contacts_telefon, scraped_contacts_email",,,
239,STREETWORK ON LINE Karviná,Terénní programy pro děti a mládež,"Makarenkova 1242/6, Nové Město, 735 06 Karviná",online@slezskadiakonie.cz,+420731428974,http://www.onlinekarvina.cz/,https://www.slezskadiakonie.cz/sluzby/streetwork-online-karvina-tp/,https://www.slezskadiakonie.cz/sluzby/streetwork-online-karvina-tp/,matched,"jiný web, kontakty matched","scraped_contacts_telefon, scraped_contacts_email",,,
240,Klíč - terénní práce s dětmi a mládeží,Terénní programy pro děti a mládež,"Pod Stráněmi 2505, Zlín, 760 01 Zlín",kaderova@unko.cz,+420734440024,http://www.unko.cz/,https://www.unko.cz/kontaktujte-nas/,https://www.unko.cz/kontaktujte-nas/,unmatched,Matched; podstránka kontaktujte nás,,,,
248,Mgr. Miloš Knob,Psychologové,"Chelčického 39, 130 00 – Praha 4",milos.knob@csspraha.cz,+420223586768,https://www.csspraha.cz/krizove-centrum-riaps-krizova-intervence-a-psychologicka-podpora,https://www.csspraha.cz/kc-riaps,https://www.csspraha.cz/kc-riaps,unmatched,"Web je zřejmě tento, ale není tam ani jeden match. původní web nenalezen
",,,,
251,PhDr. Iveta Kopecká,Psychologové,"Chelčického 39, 130 00 – Praha 5",iveta.kopecka@csspraha.cz,+420224586768,https://www.csspraha.cz/krizove-centrum-riaps-krizova-intervence-a-psychologicka-podpora,https://www.csspraha.cz/kc-riaps,https://www.csspraha.cz/kc-riaps,unmatched,"Web je zřejmě tento, ale není tam ani jeden match. původní web nenalezen
",,,,
284,Mgr. Hana Orlíková,Psychologové,"Chelčického 39, 130 00 – Praha 7",hana.orlikova@csspraha.cz,+420226586768,https://www.csspraha.cz/krizove-centrum-riaps-krizova-intervence-a-psychologicka-podpora,https://www.csspraha.cz/kc-riaps,https://www.csspraha.cz/kc-riaps,unmatched,"Web je zřejmě tento, ale není tam ani jeden match. původní web nenalezen
",,,,
296,PhDr. Vladmiríra Straková,Psychologové,"Chelčického 39, 130 00 – Praha 8",vladimira.strakova@csspraha.cz,+420227586768,https://www.csspraha.cz/krizove-centrum-riaps-krizova-intervence-a-psychologicka-podpora,https://www.csspraha.cz/kc-riaps,https://www.csspraha.cz/kc-riaps,unmatched,"Web je zřejmě tento, ale není tam ani jeden match. původní web nenalezen
",,,,
298,Mgr. Michaela Svečulová,Psychologové,"Chelčického 39, 130 00 – Praha 9",michaela.sveculova@csspraha.cz,+420228586768,https://www.csspraha.cz/krizove-centrum-riaps-krizova-intervence-a-psychologicka-podpora,https://www.csspraha.cz/kc-riaps,https://www.csspraha.cz/kc-riaps,unmatched,"Web je zřejmě tento, ale není tam ani jeden match. původní web nenalezen
",,,,
301,PhDr. Zdeňka Štichová,Psychologové,"Chelčického 39, 130 00 – Praha 10",zdenka.stichova@csspraha.cz,+420229586768,https://www.csspraha.cz/krizove-centrum-riaps-krizova-intervence-a-psychologicka-podpora,https://www.csspraha.cz/kc-riaps,https://www.csspraha.cz/kc-riaps,unmatched,"Web je zřejmě tento, ale není tam ani jeden match. původní web nenalezen
",,,,
302,Mgr. Jakob Zámečník,Psychologové,"Chelčického 39, 130 00 – Praha 11",jakub.zamecnik@csspraha.cz,+420230586768,https://www.csspraha.cz/krizove-centrum-riaps-krizova-intervence-a-psychologicka-podpora,https://www.csspraha.cz/kc-riaps,https://www.csspraha.cz/kc-riaps,unmatched,"Web je zřejmě tento, ale není tam ani jeden match. původní web nenalezen
",,,,
303,Mgr. Jan Červenka,Psychologové,"Chelčického 39, 130 00 – Praha 12",jan.cervenka@csspraha.cz,+420231586768,https://www.csspraha.cz/krizove-centrum-riaps-krizova-intervence-a-psychologicka-podpora,https://www.csspraha.cz/kc-riaps,https://www.csspraha.cz/kc-riaps,unmatched,"Web je zřejmě tento, ale není tam ani jeden match. původní web nenalezen
",,,,
304,Mgr. Jitka Vávrová,Psychologové,"U Včely 176, 156 00 Praha 5 – Zbraslav",,+420257920303,https://www.ddzbraslav.cz/?page_id=12,https://cchm.cz/,https://cchm.cz/,matched,"Změna názvu a url webu; telefon sedí, email není",scraped_contacts_telefon,,,
306,Mgr. Natália Čavojcová,Psychologové,Thámova 133/24 Praha 8 – Karlín,info@psychologickapomoc.cz,+420608280182,https://ordinace-thamova.webnode.https//www.psychologpraha.cz/cz/,https://psychologpraha.cz/kontakt/?lang=cs,https://psychologpraha.cz/kontakt/?lang=cs,unmatched,Unmatched -> 736727375 + ordinace@psychologpraha.cz,,,,
309,PhDr. Helena Mačasová,Psychologové,"Peckova 15, 186 00 Praha 8 – Karlín",,+420606166109,http://palimpsest.cz/,http://palimpsest.cz/,http://palimpsest.cz/,matched,"Vypadá ok, ale je tam víc kontaktů, mail by měl být helena@macasova.cz případně se dá scrapovat i z https://www.macasova.cz/",scraped_contacts_telefon,,,
311,Mgr. Naďa Kravcivová,Psychologové,"Hrnčířská 2985, 470 01 Česká Lípa",,+420487877646,https://www.znamylekar.cz/nada-kravcivova/psycholog/ceska-lipa,https://www.kravcivova.cz/content/kontakt,https://www.kravcivova.cz/content/kontakt,unmatched,"Unmatched both, umíme nahradit automaticky, lepší podle mě scrapovat z jejího webu než ze znamylekar.cz (i proto, že tam nejsou žádné kontakty :D)",,,,
313,PhDr. Jiří Štěrba,Psychologové,"Chomutov, Písečná 5825",,+420607774050,http://www.sterba.mypage.cz/,https://www.info-chomutov.cz/phdr-jiri-sterba/index.html,https://www.info-chomutov.cz/phdr-jiri-sterba/index.html,matched,"Jeho web je nefunkční, nevím jestli je info-chomutov dobrá volba, nicméně tam je telefon match + mail: 4406@seznam.cz",scraped_contacts_telefon,,,
320,Emingerová Eva,Psychologové,"Most, tř. Budovatelů 1395/23",,+420723031108,http://www.dopravni-psychologicke-pracovist.webnode.cz/,https://emingerova.sluzby.cz/,https://emingerova.sluzby.cz/,matched,"Web neexistuje; https://emingerova.sluzby.cz/ je telefon match
",scraped_contacts_telefon,,,
323,"Baranniková Zdeňka, PhDr.",Psychologové,"Žatec, Masarykova 745",,+420603253634,http://www.educozatec.cz/,https://www.firmy.cz/detail/476803-psychologicka-poradna-phdr-zdenka-venclickova-barannikova-zatec.html,https://www.firmy.cz/detail/476803-psychologicka-poradna-phdr-zdenka-venclickova-barannikova-zatec.html,matched,"Web neexistuje, telefon match na firmy.cz, email: zdena.barannikova@centrum.cz
",scraped_contacts_telefon,,,
324,Klinický psycholog PhDr. Karel Bröckl,Psychologové,"Sedláčkova 209, 301 00 Plzeň 3",brockl@powernet.cz,,https://psychologie-plzen.cz/,https://www.firmy.cz/detail/485665-phdr-karel-brockl-plzen-vnitrni-mesto.html,https://www.firmy.cz/detail/485665-phdr-karel-brockl-plzen-vnitrni-mesto.html,unmatched,"Web neexistuje, email match na firmy.cz, telefon: +420 602 161 405
",,,,
325,Mgr. Daniela SAIFRTOVÁ,Psychologové,Wilsonova 585 Slaný 274 01,saifrtova@volny.cz,+420735055069,http://psychologslany.cz/index_sl.html,https://psychologslany.cz/slany#kontakt,https://psychologslany.cz/slany#kontakt,matched,"Jiná podstránka; telefon match; email ne: psychoslamnik@volny.cz (je jich ta více, takže manuálně)",scraped_contacts_telefon,,,
326,Mgr. Ivona Matějů,Psychologové,Wilsonova 585 Slaný 274 01,saifrtova@volny.cz,+420736055069,http://psychologslany.cz/index_sl.html,https://psychologslany.cz/slany#kontakt,https://psychologslany.cz/slany#kontakt,unmatched,"Jiná podstránka; telefon match; email ne: psychoslamnik@volny.cz (je jich ta více, takže manuálně)",,,,
327,PhDr. Andrea Kalinová,Psychologové,Wilsonova 585 Slaný 274 01,saifrtova@volny.cz,+420737055069,http://psychologslany.cz/index_sl.html,https://psychologslany.cz/slany#kontakt,https://psychologslany.cz/slany#kontakt,unmatched,"Jiná podstránka; telefon match; email ne: psychoslamnik@volny.cz (je jich ta více, takže manuálně)",,,,
338,Mgr. Andrea Sakalová,Psychologové,Vančurova 1548 272 01 Kladno,,+420313606111,http://www.nemocnicekladno.cz/oddeleni/spolecne-obory/klinicka-psychologie,http://www.nemocnicekladno.cz/kontakty,http://www.nemocnicekladno.cz/kontakty,unmatched,Jiná podstránka; telefon matche; email není,,,,
343,Mgr. Miroslav Šubrt,Psychologové,Vančurova 1548 272 01 Kladno,,+420314606111,http://www.nemocnicekladno.cz/oddeleni/spolecne-obory/klinicka-psychologie,http://www.nemocnicekladno.cz/kontakty,http://www.nemocnicekladno.cz/kontakty,unmatched,Jiná podstránka; telefon matche; email není,,,,
352,Mgr. Judita Trenklerová,Psychologové,Vančurova 1548 272 01 Kladno,,+420315606111,http://www.nemocnicekladno.cz/oddeleni/spolecne-obory/klinicka-psychologie,http://www.nemocnicekladno.cz/kontakty,http://www.nemocnicekladno.cz/kontakty,unmatched,Jiná podstránka; telefon matche; email není,,,,
358,Uherskohradišťská nemocnice – Ambulance klinické psychologie,Psychologové,J. E. Purkyně 365 686 68 Uherské Hradiště,benicekm@nemuh.cz,+420572529852,http://psychologuh.cz/,http://psychologuh.cz/,http://psychologuh.cz/,matched,,scraped_contacts_telefon,,,
359,Ambulance klinické psychologie a psychoterapie Český Těšín,Psychologové,"Ostravská 783, 737 01 Český Těšín",jmachova.jm@gmail.com,+420608000783,http://www.psychologietesin.cz/,http://www.psychologietesin.cz/,http://www.psychologietesin.cz/,new_contact_both_match_with_email,neaktualni tel cislo a email,,"['+420608153311', 'majetnyjakub@gmail.com']",new_contact_both_match_with_email,
