Název,Kategorie,Adresa,E-mail,Telefon,Webová stránka,web,Matched,Source
OPEN HOUSE o.p.s. - OPEN STREET Bruntál,Terénní programy pro děti a mládež,"Dr. E. Beneše 309/47, Bruntál, 792 01 Bruntál",openhouse@seznam.cz,+420775096716,http://www.openhousebruntal.cz/,,matched,scraped_contacts_telefon
Terénní program COM.PASS,Terénní programy pro děti a mládež,"sady Pětatřicátníků 94/27, Plzeň 3-Jižní Předměstí, 301 00 Plzeň",info@ponton.cz,+420774433395,http://www.ponton.cz/,,matched,scraped_contacts_email
Terénní program LUMA,Terénní programy pro děti a mládež,"Nerudova 691/19, Mladá Boleslav II, 293 01 Mladá Boleslav",luma@luma-mb.cz,+420774607840,http://www.luma-mb.cz/,,matched,scraped_contacts_email
Linka důvěry SOS,Telefonická krizová pomoc - pro děti a mládež,"Čechova 778, Mladá Boleslav II, 293 01 Mladá Boleslav",linka.duvery-mb@centrum.cz,+420326741481,http://www.linka-duvery-mb.cz/,,matched,scraped_contacts_telefon
"Městská nemocnice Ostrava, příspěvková organizace",Telefonická krizová pomoc - pro děti a mládež,"Nemocniční 898/20a, Moravská Ostrava, 702 00 Ostrava",mnof@mnof.cz,+420596193242,http://www.mnof.cz/,,matched,scraped_contacts_email
Linka bezpečí,Telefonická krizová pomoc - pro děti a mládež,"Ústavní 95, Praha 8-Bohnice, 181 00 Praha",pomoc@linkabezpeci.cz,+420116111,http://www.linkabezpeci.cz/,,matched,scraped_contacts_email
Rektorová Blanka PhDr.,Psychoterapeuti,"Nám. Přerovského povstání 1, Přerov, 75001",rektorova@mens.cz,+420581204437,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/8-rektorova-blanka-phdr,,matched,scraped_contacts_telefon
Tejklová Milena PhDr.,Psychoterapeuti,"Dlouhá 79, Havířov-Podlesí, 73601",m.tejklova@seznam.cz,+420596430768,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/100-tejklova-milena-phdr,,matched,scraped_contacts_telefon
"Zvánovcová Irena, MUDr.",Psychoterapeuti,"Na Výšince 149/3, 153 00, Praha 5",izvanovcova@gmail.com,+420774979714,http://www.psychoterapie-iz.cz/,,matched,scraped_contacts_telefon
Centrum sociálních služeb Praha,Intervenční centra,"Chelčického 842/39, Praha 3-Žižkov, 130 00 Praha",icpraha@csspraha.cz,+420734510292,http://www.csspraha.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Diecézní charita Plzeň - Intervenční centrum Plzeňského kraje,Intervenční centra,"Cukrovarská 327/16, Plzeň 3-Jižní Předměstí, 301 00 Plzeň ",ic@dchp.charita.cz,+420777167004,http://www.dchp.cz/,,matched,scraped_contacts_telefon
Oblastní charita Hradec Králové - Intervenční centrum Hradec Králové,Intervenční centra,"Kotěrova 847/5, Hradec Králové, 500 03 Hradec Králové ",intervencni.centrum@charitahk.cz,+420774591383,http://www.charitahk.cz/,,matched,scraped_contacts_telefon
"Psychocentrum - manželská a rodinná poradna Kraje Vysočina, příspěvková organizace",Intervenční centra,"třída Legionářů 1468/36, Jihlava, 586 01 Jihlava ",ic.vysocina@psychocentrum.cz,+420567215532,http://www.intervencni-centrum.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Intervenční centrum Respondeo,Intervenční centra,"Náměstí Přemyslovců 14/11, Nymburk, 288 02 Nymburk ",obeti@respondeo.cz,+420325511148,http://www.respondeo.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
"SPONDEA, z.ú.",Intervenční centra,"Sýpka 1351/25, Brno-sever, Černá Pole, 613 00 Brno",intervencni-centrum@spondea.cz,nan,http://www.spondea.cz/,,matched,scraped_contacts_email
"Středisko sociální prevence Olomouc, příspěvková organizace",Intervenční centra,"Na Vozovce 622/26, Nová Ulice, 779 00 Olomouc ",intervencnicentrum@ssp-ol.cz,+420774406453,http://ssp-ol.cz/,,matched,scraped_contacts_telefon
"Dětské krizové centrum, z.ú.",Krizová centra - pro děti a mládež,"Cílkova 796/7, Praha 12-Kamýk, 142 00 Praha",ambulance@ditekrize.cz,+420241480511,http://www.ditekrize.cz/,,matched,scraped_contacts_telefon
"Euripidia Educa, z.s.",Krizová centra - pro děti a mládež,"Anenské náměstí 340, Kutná Hora-Vnitřní Město, 284 01 Kutná Hora",jarosova.euripidia@gmail.com,+420604533230,https://euripidia-educa7.webnode.cz/,,matched,scraped_contacts_telefon
"Krizové centrum pro děti a rodinu v Jihočeském kraji, z.ú.",Krizová centra - pro děti a mládež,"Nová 1871/5, České Budějovice 3, 370 01 České Budějovice",pomoc@ditevkrizi.cz,+420776763176,http://www.ditevkrizi.cz/,,matched,scraped_contacts_telefon
Modré dveře – Praha,Krizová centra - pro děti a mládež,"K Horkám 23/16, 102 00 Praha – Hostivař",,+420725515934,http://www.modredvere.cz/cz/modre-dvere-praha,,matched,scraped_contacts_telefon
Dětské krizové centrum,Krizová centra - pro děti a mládež,"V Zápolí 1250/21, Praha 4, 141 00",problem@ditekrize.cz,nan,http://ditekrize.cz/,,matched,scraped_contacts_email
Centrum J. J. Pestalozziho Žamberk Krizové centrum,Krizová centra - pro děti a mládež,Masarykovo náměstí 86 564 01 Žamberk,.cz,+420725838127,https://pestalozzi.cz/,,matched,scraped_contacts_email
Poradna pro ženy a dívky Šumperk Poradna/krizové centrum,Krizová centra - pro děti a mládež,Komenského 9 787 01 Šumperk,praha@poradnaprozeny.eu,+420603213845,https://www.poradnaprozeny.eu/#utm_source=firmy.cz&utm_medium=ppd&utm_campaign=firmy.cz-12891669,,matched,scraped_contacts_email
Pražská linka důvěry,Telefonická krizová pomoc - pro děti a mládež,"Šromova 861/1, Praha 14-Černý Most, 198 00 Praha",linka.duvery@csspraha.cz,+420222580697,http://www.csspraha.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Dětské krizové centrum,Telefonická krizová pomoc - pro děti a mládež,"Roztylské náměstí 2772/44, Praha 4-Záběhlice, 141 00 Praha",reditelka@ditekrize.cz,+420241484149,http://www.ditekrize.cz/,,matched,scraped_contacts_telefon
Terénní programy v Praze 9 a 12 - Proxima Sociale o.p.s.,Terénní programy pro děti a mládež,"Rakovského 3138/2, Praha 12-Modřany, 143 00 Praha",office@proximasociale.cz,+420775610001,http://www.proximasociale.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Rektor Juraj MUDr.,Psychoterapeuti,"Nám. Přerovského povstání 1, Přerov, 75001",rektor@mens.cz,+420581204437,http://www.psychoterapeuti.cz/adresar-psychoterapeutu/item/7-rektor-juraj-mudr,,matched,scraped_contacts_telefon
Terenní programy v Praze 13 - Proxima Sociale o.p.s.,Terénní programy pro děti a mládež,"Borovanského 2205/8, Praha 13-Stodůlky, 155 00 Praha",office@proximasociale.cz,+420775610453,http://www.proximasociale.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
"Romano jasnica, spolek - Poradenské informační centrum",Terénní programy pro děti a mládež,"Gogolova 29/2, 400 04 Trmice",romano.j@seznam.cz,+420475501774,http://www.romanojasnica.cz/,,matched,scraped_contacts_email
Mgr. Lucie Michálková,Psychologové,"Křižíkova 264/22, Praha 8, 186 00",info@inep.cz,+42029201020,https://www.inep.cz/,,matched,scraped_contacts_email
Mgr. Michaela Šťovíčková,Psychologové,Jugoslávských partyzánů 15 Praha 6 – Dejvice,,+420774680991,http://apsycholog.cz/,,matched,scraped_contacts_telefon
PhDr. Vladimíra Plzáková,Psychologové,"Křižíkova 264/22, Praha 8, 186 00",info@inep.cz,+420222201020,https://www.inep.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Mgr. Alexandra Roubalová,Psychologové,"Křižíkova 264/22, Praha 8, 186 01",info@inep.cz,+420223201020,https://www.inep.cz/,,matched,scraped_contacts_email
PhDr. Michal Šmotek,Psychologové,"Křižíkova 264/22, Praha 8, 186 02",info@inep.cz,+420224201020,https://www.inep.cz/,,matched,scraped_contacts_email
PhDr. Irena Krchová,Psychologové,Golfová 910/10 Praha 10-Hostivař,,+420731516839,http://www.psychologie-krchova.cz/,,matched,scraped_contacts_telefon
PhDr. Radek Pěkný,Psychologové,"Tychonova 44/3, 160 00 Praha 6",hradcanska@kappa-praha.cz,+420730513343,https://www.kappa-praha.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Mgr. Alice Derflová,Psychologové,"Tychonova 44/3, 160 00 Praha 7",hradcanska@kappa-praha.cz,+420730513343,https://www.kappa-praha.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Mgr. Zuzana Kohoutová,Psychologové,"Křižíkova 264/22, Praha 8, 186 00",info@inep.cz,+42028201020,https://www.inep.cz/,,matched,scraped_contacts_email
Mgr. Martina Franzová,Psychologové,"Tychonova 44/3, 160 00 Praha 8",hradcanska@kappa-praha.cz,+420730513343,https://www.kappa-praha.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Mgr. Lívia Mayerová,Psychologové,Lipí 2556/3 193 00 Praha – Horní Počernice,info@lecbaduse.cz,+420733312172,https://www.lecbaduse.cz/,,matched,scraped_contacts_email
PhDr. Kristina Najbrtová,Psychologové,Lipí 2556/3 193 00 Praha – Horní Počernice,info@lecbaduse.cz,+420734312172,https://www.lecbaduse.cz/,,matched,scraped_contacts_email
Mgr. Simona Vasilková,Psychologové,"Krčská 59/1079 Praha 4, 140 00",info@zajicova-psychologie.cz,+420731037777,http://www.zajicova-psychologie.cz/,,matched,scraped_contacts_email
Mgr. Martina Tichá,Psychologové,"Krčská 59/1079 Praha 4, 140 00",info@zajicova-psychologie.cz,+420732807875,http://www.zajicova-psychologie.cz/,,matched,scraped_contacts_email
Mgr. Lucie Sušická,Psychologové,"Nitranská 1459/11, Praha 3",lucie@susicka.info,+420607691975,https://susicka.info/,,matched,scraped_contacts_telefon
Mgr. Michaela Šichová,Psychologové,Jugoslávských partyzánů 15 Praha 6 – Dejvice,,+420734785170,http://apsycholog.cz/,,matched,scraped_contacts_telefon
Mgr. Anna Zvettlerová,Psychologové,Thámova 133/24 Praha 8 – Karlín,klinika@monada.cz,+420224829099,https://ordinace-thamova.webnode.https//www.psychologpraha.cz/cz/,,matched,scraped_contacts_email
MONADA spol. s.r.o,Psychologové,"Střelničná 1861/8a, Praha 8",martin.dlabal@bulovka.cz,+420736750927,https://www.monada.cz/psychologie/,,matched,scraped_contacts_telefon
"Mgr. Michaela VIKTORINOVÁ, M.Sc.",Psychologové,"Tychonova 44/3, 160 00 Praha 9",hradcanska@kappa-praha.cz,+420730513343,https://www.kappa-praha.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Mgr. Marie Hájková,Psychologové,"Křižíkova 264/22, Praha 8, 186 00",info@inep.cz,+42027201020,https://www.inep.cz/,,matched,scraped_contacts_email
Mgr. Natálie Fousková,Psychologové,"Křižíkova 264/22, Praha 8, 186 00",info@inep.cz,+42026201020,https://www.inep.cz/,,matched,scraped_contacts_email
Mgr. Judita Feuersteinová,Psychologové,"Křižíkova 264/22, Praha 8, 186 00",info@inep.cz,+42025201020,https://www.inep.cz/,,matched,scraped_contacts_email
"Šance pro Tebe, z.s. - Streetwork ",Terénní programy pro děti a mládež,"Štěpánkova 92, Chrudim I, 537 01 Chrudim",sance@sance.chrudim.cz,+420469623501,http://www.sance.chrudim.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
TADY A TEĎ,Terénní programy pro děti a mládež,"sady Pětatřicátníků 94/27, Plzeň 3-Jižní Předměstí, 301 00 Plzeň",info@tadyated.org,+420724247191,http://www.tadyated.org/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Mgr. Adéla Rudá,Psychologové,"Ke Koulce 919/7, 150 00 Praha",info@psychiatrie-praha.cz,+420602628619,https://psychiatrie-praha.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Mgr. et Mgr. Veronika Víchová,Psychologové,Žalanského 68/54 Praha 6 – Řepy,info@cepsymed.cz,+420602174380,https://www.cepsymed.cz/o-nas.html,,matched,"scraped_contacts_telefon, scraped_contacts_email"
PhDr. Martina Pilařová,Psychologové,Žalanského 68/54 Praha 6 – Řepy,info@cepsymed.cz,+420602174380,https://www.cepsymed.cz/o-nas.html,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Mgr. Petra Hackerová,Psychologové,"Chelčického 39, 130 00 – Praha 3",petra.hackerova@csspraha.cz,+420222586768,https://www.csspraha.cz/krizove-centrum-riaps-krizova-intervence-a-psychologicka-podpora,,matched,scraped_contacts_telefon
PhDr. Kateřina Marklová,Psychologové,"Pod Děkankou 1741/6, Praha 4",info@neocentrum.cz,+420770143385,https://neocentrum.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
PhDr. Radka Kulhánková.,Psychologové,"Počernická 16, 100 00 Praha 10 Strašnice",pocernicka@clinterap.cz,+420222510607,https://clinterap.cz/klinicka-psychologie-praha-10/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
"Mgr. Pavol Hašan, Ph.D.",Psychologové,"Úvalská 3411/47, Praha 10",info@klinikaeset.cz,nan,https://www.klinikaeset.cz/,,matched,scraped_contacts_email
Mgr. Martina Kukolová,Psychologové,"Úvalská 3411/47, Praha 11",info@klinikaeset.cz,nan,https://www.klinikaeset.cz/,,matched,scraped_contacts_email
Mgr. Irena Ludvíková,Psychologové,"Úvalská 3411/47, Praha 12",info@klinikaeset.cz,nan,https://www.klinikaeset.cz/,,matched,scraped_contacts_email
PhDr. Barbora Palatová,Psychologové,"Úvalská 3411/47, Praha 13",info@klinikaeset.cz,nan,https://www.klinikaeset.cz/,,matched,scraped_contacts_email
"Doc. PhDr. Jiří Růžička, Ph.D",Psychologové,"Úvalská 3411/47, Praha 14",info@klinikaeset.cz,nan,https://www.klinikaeset.cz/,,matched,scraped_contacts_email
"PhDr. Helena Talandová, DiS.",Psychologové,"Úvalská 3411/47, Praha 15",info@klinikaeset.cz,nan,https://www.klinikaeset.cz/,,matched,scraped_contacts_email
PhDr. Daniela Wurstová,Psychologové,"Úvalská 3411/47, Praha 15",info@klinikaeset.cz,nan,https://www.klinikaeset.cz/,,matched,scraped_contacts_email
"Mgr. Jana Woleská, Ph.D.",Psychologové,"V Úvalu 84, 150 00 Praha 5",,+420224436757,https://www.fnmotol.cz/,,matched,scraped_contacts_telefon
"PhDr. Petra Menclová, Ph.D.",Psychologové,"Křižíkova 264/22, Praha 8, 186 00",info@inep.cz,+42022201020,https://www.inep.cz/,,matched,scraped_contacts_email
Mgr. Lucie Bernášková,Psychologové,"Křižíkova 264/22, Praha 8, 186 00",info@inep.cz,+42023201020,https://www.inep.cz/,,matched,scraped_contacts_email
Mgr. Mariana Botková,Psychologové,"Křižíkova 264/22, Praha 8, 186 00",info@inep.cz,+42024201020,https://www.inep.cz/,,matched,scraped_contacts_email
Terénní programy v Praze 11 a 15 - Proxima Sociale o.p.s.,Terénní programy pro děti a mládež,"Brandlova 1639/6, Praha 11-Chodov, 149 00 Praha",office@proximasociale.cz,+420775857564,http://www.proximasociale.cz/,,matched,scraped_contacts_email
PhDr. Helena Mačasová,Psychologové,"Peckova 15, 186 00 Praha 8 – Karlín",,+420606166109,http://palimpsest.cz/,,matched,scraped_contacts_telefon
Petišková Michaela MUDr.,Psychoterapeuti,U Vojenské nemocnice 10 162 00 Praha 6,m.petiskova@centrum.cz,+420736660315,https://www.homeopatiecz.com/,,matched,scraped_contacts_telefon
Matuška František MUDr.,Psychoterapeuti,"Dykova 31, Praha 10 - Vinohrady, 10100",matuska@hermesgroup.cz,nan,http://www.hermesgroup.cz,,matched,scraped_contacts_email
Občanská poradna Vsetín,Odborné sociální poradenství,"Jiráskova 419, Vsetín 755 01, Zlínský kraj",poradna@vkci.cz,+420774262243,http://www.vkci.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Poradenské centrum ZEBRA,Odborné sociální poradenství,"Masarykovo náměstí 1079, Valašské Klobouky 766 01, Zlínský kraj",poradnazebra@gmail.com,+420608899408,http://pivecka-ops.cz/?page_id=1948,,matched,scraped_contacts_telefon
VIDA centrum Jemnice,Odborné sociální poradenství,"Husova 2 , Jemnice 675 31, Kraj Vysočina",jemnice@vidacentrum.cz,+420775585160,http://www.vidacr.cz,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Adiktologická a preventivní ambulance - 21,Odborné sociální poradenství,"Plachého 812/6, Plzeň 3 - Jižní předměstí 301 00, Plzeňský kraj",21ambulance@cppt.cz,+420602686893,https://www.cppt.cz/nase-zarizeni/adiktologicka-a-preventivni-ambulance-21,,matched,scraped_contacts_telefon
"Ambulance pro nelátkové závislosti, CPPT, o.p.s.",Odborné sociální poradenství,"Tylova 707/20, Plzeň 3 - Jižní předměstí 301 00, Plzeňský kraj",g.ambulance@cppt.cz,+420724384461,https://www.cppt.cz/nase-zarizeni/ambulance-pro-nelatkove-zavislosti,,matched,scraped_contacts_telefon
Rodinná poradna Domažlice,Odborné sociální poradenství,"Baldovská 583, Domažlice 344 01, Plzeňský kraj",poradna@cssdomazlice.cz,+420379412740,https://www.cssdomazlice.cz/rodinna-poradna-domazlice/o-nas/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Občanská poradna při Charitě Horažïovice,Odborné sociální poradenství,"Palackého 1061, Horažïovice 341 01, Plzeňský kraj",poradna@horazdovice.charita.cz,+420730551603,https://horazdovice.charita.cz/jak-pomahame/obcanska-poradna/,,matched,scraped_contacts_telefon
"Poradna pro rodinu, manželství a mezilidské vztahy",Odborné sociální poradenství,"Balbínova 59, Klatovy I 339 01, Plzeňský kraj",musskt@musskt.cz,nan,https://www.musskt.cz/muss/poradenstvi.asp,,matched,scraped_contacts_email
Občanská poradna Pod křídly,Odborné sociální poradenství,"Nábřeží 268, Valašské Meziříčí 757 01, Zlínský kraj",poradna@opvm.cz,+420571629068,http://www.opvm.cz/,,matched,scraped_contacts_email
Poradna pro ženy dívky Plzeň,Odborné sociální poradenství,"Husovo náměstí 584/2, Plzeň 3-Jižní Předměstí (část) 301 00, Plzeňský kraj",plzen@poradnaprozeny.eu,+420731749774,https://www.poradnaprozeny.eu/plzen/,,matched,scraped_contacts_telefon
Sociální poradna,Odborné sociální poradenství,"Pod Svatoborem 56, Sušice II 342 01, Plzeňský kraj",pillerova@socialni-susice.cz,+420723857194,https://www.socialni-susice.cz/nase-sluzby/odborne-socialni-poradenstvi/,,matched,scraped_contacts_telefon
"Pedagogicko-psychologická poradna pro Prahu 1,2 a 4",Pedagogicko-psychologické poradny,"Francouzská 260/56, Vinohrady, 101 00 Praha 10",poradna@ppppraha.cz,+420267997011,http://www.ppppraha.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
"Pražská pedagogicko-psychologická poradna, s.r.o.",Pedagogicko-psychologické poradny,"Ohradní 420/20, Michle, 140 00 Praha 4",pppp@pppp.cz,+420603513949,http://www.pppp.cz/,,matched,scraped_contacts_telefon
Pedagogicko-psychologická poradna pro Prahu 5,Pedagogicko-psychologické poradny,"Kuncova 1580/1, Stodůlky, 155 00 Praha 5",oppp5@volny.cz,+420251611803,http://www.oppp5.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Pedagogicko-psychologická poradna pro Prahu 6,Pedagogicko-psychologické poradny,"Vokovická 32/3, Vokovice, 160 00 Praha 6",ppp6@ppp6.cz,+420220612131,https://www.ppp6.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Pedagogicko-psychologická poradna pro Prahu 8,Pedagogicko-psychologické poradny,"Glowackého 549/7, Troja, 181 00 Praha 8",poradna8@ppppraha7a8.cz,nan,https://www.ppppraha7a8.cz/,,matched,scraped_contacts_email
Křesťanská pedagogicko-psychologická poradna,Pedagogicko-psychologické poradny,"Pernerova 427/8, Karlín, 186 00 Praha 8",poradna@kppp.cz,+420739012074,https://www.kppp.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Pedagogicko-psychologická poradna pro Prahu 10,Pedagogicko-psychologické poradny,"Jabloňová 3141/30a, Záběhlice, 106 00 Praha 10",borilova@ppp10.eu,+420778520567,http://www.ppp10.eu/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
"Poradna pro rodinu, manželství a mezilidské vztahy, o.p.s.",Odborné sociální poradenství,"Denisovo nábřeží 1000/4, Plzeň 3 - Východní předměstí 301 00, Plzeňský kraj",ilonahruzova@seznam.cz,+420775263426,https://www.poradnaplzen.cz/,,matched,scraped_contacts_telefon
Poradna Národní rady osob se zdravotním postižením Pardubice,Odborné sociální poradenství,"K Blahobytu 1763, Zelené Předměstí (Pardubice I) 530 02, Pardubický kraj",poradnapardubice@nrzp.cz,+420736751217,https://nrzp.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Poradna Národní rady osob se zdravotním postižením české Budějovice,Odborné sociální poradenství,"Staroměstská 2608, české Budějovice 370 04, Jihočeský kraj",poradnacb@nrzp.cz,+420736751209,https://nrzp.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Poradna Národní rady osob se zdravotním postižením Otrokovice,Odborné sociální poradenství,"tř. Osvobození 1388, Otrokovice (část) 765 02, Zlínský kraj",poradnaotrokovice@nrzp.cz,+420739577168,https://nrzp.cz/,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Středisko pro rodinu a mezilidské vztahy,Odborné sociální poradenství,"Nádražní 105/47, české Budějovice 370 01, Jihočeský kraj",spramv@gmail.com,+420387438703,http://www.rodinnaporadnacb.cz/stredisko-pro-rodinu,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Občanská poradna Třebíč,Odborné sociální poradenství,"Přerovského 126/6, Třebíč 674 01, Kraj Vysočina",poradna.tr@optrebic.cz,+420724304718,https://www.optrebic.cz/,,matched,scraped_contacts_telefon
Poradna pro rodinu,Odborné sociální poradenství,"Na Vozovce 622/26, Olomouc 779 00, Olomoucký kraj",ppr.olomouc@ssp-ol.cz,+420585413540,https://www.ssp-ol.cz/poradny-pro-rodinu/rozcestnik,,matched,scraped_contacts_telefon
Odborné sociální poradenství,Odborné sociální poradenství,"Karafiátová 5, Olomouc 779 00, Olomoucký kraj",pamatovacek@pamatovacek.cz,+420585426110,https://www.pamatovacek.cz/odborne-socialni-poradenstvi,,matched,"scraped_contacts_telefon, scraped_contacts_email"
Občanská poradna Vodňany,Odborné sociální poradenství,"Jiráskova 116, Vodňany II 389 01, Jihočeský kraj",poradna@tyn.charita.cz,+420731402996,https://tyn.charita.cz/jak-pomahame/obcanska-poradna/,,matched,scraped_contacts_telefon
Občanská poradna Veselí nad Lužnicí,Odborné sociální poradenství,"Budějovická 148, Veselí nad Lužnicí I 391 81, Jihočeský kraj",poradna@tyn.charita.cz,+420731402996,https://tyn.charita.cz/jak-pomahame/obcanska-poradna/,,matched,scraped_contacts_telefon
Služby pro rodinu při Jihočeské rozvojové o.p.s.,Odborné sociální poradenství,"Riegrova 1756/51, české Budějovice 2 (část) 370 01, Jihočeský kraj",prorodinu@jihoceskarozvojova.cz,+420724509578,https://www.jihoceskarozvojova.cz/sluzby/sluzby-pro-rodinu.html,,matched,scraped_contacts_telefon
"Centrum poradenství pro rodinné a partnerské vztahy, příspěvková organizace",Odborné sociální poradenství,"U Náhonu 5208, Zlín (část) 760 01, Zlínský kraj",ic@centrum-poradenstvi.cz,nan,http://www.centrum-poradenstvi.cz,,matched,scraped_contacts_email
Poradna pro závislosti Agarta,Odborné sociální poradenství,"Náměstí 84/17, Valašské Meziříčí 757 01, Zlínský kraj",poradna@agarta.cz,+420702149189,https://www.agarta.cz/,,matched,scraped_contacts_email
