,Website,Phone Numbers
65,http://www.fnmotol.cz/kliniky-a-oddeleni/spolecna-pracoviste/oddeleni-klinicke-psychologie/vedeni-a-personal/,
66,https://jarmilakrajcova.webnode.cz/,
67,https://www.cssdomazlice.cz/rodinna-poradna-domazlice/o-nas/,
68,https://www.vorjihlava.cz/cdz_jihlava/informace,
69,https://www.diakonievsetin.cz,
70,https://www.pppbreclav.cz/,
71,http://www.armadaspasy.cz,
72,http://www.pppstredoceska.cz/,
73,https://www.diakoniezapad.cz/sluzby-diakonie-zapad/pro-lidi-v-nouzi/poradna-pro-obcany-v-nesnazich/,
74,http://www.psy-dobiasova.cz/,
75,http://www.fokus-mb.cz/klubko,
76,https://psychiatrie-ambulance.cz,
77,http://www.kappa-help.cz,
78,https://www.utocistecheb.cz,
79,https://psychologie-plzen.cz/,
80,http://www.psycholog-hk.cz/,
81,http://www.adelafararova.cz/,
82,https://www.poradnazl.cz/,
83,http://www.psycholog-praha.pro/,
84,https://www.nempt.cz/ambulance/soukrome-ambulance/psychiatricka-ambulance/,
85,https://pisek.charita.cz/jak-pomahame/oblastni-poradna-pisek/,
86,https://www.lecbaduse.cz/,
87,http://www.nemckr.cz/index.php/cs/ambulance/soukr-ordinace/psychiatrie,
88,https://www.zavinac.sdb.cz,
89,https://www.diakoniezapad.cz/sluzby-diakonie-zapad/pro-lidi-v-nouzi/teren-pro-ohrozene-osoby/,
90,https://www.netfirmy.cz/firma/6757-polacek-jaroslav-mudr/,
91,https://www.d-os.net,
92,https://www.facebook.com/konzultarnavsetin,
93,http://www.ppporadnavize.cz/,
94,https://klatovy.nemocnicepk.cz,
95,http://www.psychiatriegrimova.cz/,
96,cdzostrava.cz,
97,http://www.psychologcimlova.cz/uvod.html,
98,http://www.lecbaduse.cz/,
99,http://www.ckp-dobrichovice.cz,
100,http://www.psychologcb.cz/,
101,http://www.psychotera.cz/profesni_zivotopisES.htm,
102,http://www.medisante.cz/,
103,https://www.psychologickapraxe.com/,
104,http://www.zahrada2000.cz/,
105,amit.rt@tiscali.cz,
106,http://apsycholog.cz/,
107,http://www.nemdac.cz/ambulance/psychiatricka-ambulance/,
108,https://saintmedical.cz/klinicka-psychologie,
109,http://www.krizovecentrum.cz/,
110,https://psycholog-plzen.cz/,
111,hudlicka@fokus-praha.cz,
112,https://www.firmy.cz/detail/12864154-mudr-jiri-bohac-zlin.html,
113,https://www.krebul.cz/obcanska-poradna,
114,nem-tr.cz/cze/ambulance/klinicky-psycholog/,
115,terapie-poradenstvi.wz.cz,
116,https://www.prevent99.cz/spot/,
117,https://neocentrum.cz/,
118,http://www.unko.cz,
119,https://pardubice.nempk.cz/,
120,asistovanekontakty.cz,
121,http://www.kdochce.estranky.cz/,
122,https://psychiatrie-klatovy.cz/,
123,http://www.sternberk.caritas.cz/,
124,https://www.zdar.charita.cz,
125,https://hollka.com/,
126,http://www.magdalena-ops.eu/,
127,https://www.sance.chrudim.cz,
128,http://ppp3a9.cz/,
129,http://www.strada.cz/,
130,http://www.psychologiebrno.cz/,
131,http://hb.charita.cz/nabizene-sluzby/sluzby-socialni/nizkoprahovy-klub-ban/,
132,https://www.socsluzbymilevsko.cz/odborne-socialni-poradenstvi-milevsko,
133,https://www.ppp11a12.cz/,
134,https://www.psychiatrietrebic.cz,
135,https://www.ekatalog.cz/firma/265781-honova-marcela-mudr/,
136,https://www.css-ostrava.cz/sluzba/krizove-centrum-pro-deti-a-rodinu/,
137,https://www.charitamost.cz,
138,http://www.cetera.cz,
139,http://www.riaps.cz/cdz/,
140,http://www.aura-psycholog.cz/,
141,http://www.janhaase.cz/index.php,
142,http://www.neuropsychiatriehk.cz/lipky,
143,https://www.opava.eurotopia.cz,
144,https://www.vidacr.cz,
145,http://www.mihop.cz/,
146,https://www.tempericb.cz,
147,http://www.unko.cz/,
148,http:// www.psycholog-sro.cz,
149,https://ordinace-thamova.webnode.https//www.psychologpraha.cz/cz/,
150,https://www.lexik.cz/pedagogicko-psychologicka-poradna,
151,http://www.kotec.cz/regiony/tachov/,
152,https://fokus-praha.cz/cz/pomahame/centrum-podskali/cdz-podskali,
153,http://www.dopravni-psychologicke-pracovist.webnode.cz/,
154,http://www.mudrcerny.cz/,
155,https://www.navstevalekare.cz/lekari/psychiatr--psychiatrie-s51017/jihocesky-kraj-k300/cesky-krumlov-o501.html,
156,https://www.clovekvtisni.cz/cs/socialni-prace/pobocka/karlovy-vary,
157,https://ordinace-thamova.webnode.cz/,
158,http://www.fenix-centrum.cz/centrum-dusevniho-zdravi,
159,http://www.cdzkm.cz/,
160,http://www.psychologiezlin.eu/,
161,https://www.znamylekar.cz/irena-smolova/psychiatr/plzen,
162,charita-most.cz,
163,psychoterapiehradeckralove.cz,
164,https://www.milicak.cz,
165,http://www.psychologie-dopravni.cz/,
166,https://www.fokus-praha.cz/cz/pomahame/centrum-brevnov/cdz6#prvni-navsteva,
167,https://www.pppbrno.cz/cs/,
168,https://www.romanojasnica.webnode.cz,
169,http://psychologtabor.cz/,
170,http://cross.prevent99.cz,
171,https://www.opengate.cz/,
172,https://www.psychotesty-ridici.cz/,
173,http://www.amkp.cz/,
174,http://www.kotec.cz/,
175,http://www.viteznydech.com/,
176,tvuj-terapeut.cz,
177,https://www.skolskykomplex.cz/g-jgm/,
178,https://search.seznam.cz/search?q=psychiatr%20p%C3%ADsek&sourceid=web&thru=related&sId=cWZTosuX6OhCGTtKeYxH&overlay_type=firmy-hint-1905&overlay_id=firm-13284641,
179,https://www.anabell.cz,
180,https://cs-cz.facebook.com/pages/category/Medical-Center/Klinick%C3%A1-psychologie-PhDr-Ji%C5%99%C3%AD-Laciga-627210657489219/,
181,http://www.adiktologie.cz/,
182,https://www.jicin.charita.cz,
183,https://www.dokampaku.cz,
184,https://komunitnikostel.cz/husita,
185,ceska.spolecnost@telecom.cz,
186,https://www.centrum-acko.cz/index.php/o-nas/poradna/poradna-detailni-popis-sluzby/,
187,http://www.dumtriprani.cz/,
188,http://poradna.cesbrod.cz/,
189,nzdm@milicak.cz,
190,https://www.psycholog-jesenik.cz/,
191,http://www.armadaspasy.cz/havirov,
192,http://psychologiebratkova.cz/,
193,http://www.os-semiramis.cz,
194,https://www.firmy.cz/detail/12844251-egomed-jaromer-prazske-predmesti.html,
195,http://ww.poliklinika-hb.cz/126-mudr-zemanov,
196,https://www.znamylekar.cz/nada-kravcivova/psycholog/ceska-lipa,
197,https://www.svetlokadanzs.cz,
198,http://www.fokuslbc.eu/,
199,http://poradnaln.cz/kontakt.html,
200,https://www.pppcb.cz/,
201,https://murgasova.cz/,
202,http://www.riaps.cz,
203,v.burianek@centrum.cz,
204,https://www.zvole.info,
205,http://www.linkaduvery.kh.cz/,
206,https://www.sdbzlin.cz,
207,https://www.ambulancekm.cz/,
208,https://mudrslanina.webnode.cz/_files/200000069-75c1e75c20/Medajlonek%20Hanzlovsk%C3%BD.pdf,
209,https://www.firmy.cz/detail/385280-mudr-marie-zrneckova-zdar-nad-sazavou-4.html,
210,https://euc.cz,
211,https://pllnare.cz/ambulance,
212,http://www.r-mosty.cz,
213,klubbarka.estranky.cz,
214,sojka@hbnet.cz,
215,http://www.cszs.cz/,
216,rovnovaha.ostrava@seznam.cz,
217,https://terapie-koubova.webnode.cz/,
218,https://lecive-rozhovory.webnode.cz/,
219,https://www.fokuslabe.cz,
220,https://www.prosapia-zu.cz,
221,http://www.cheiront.cz,
222,https://www.rc-routa.cz,
223,https://kbterapie.webnode.cz/,
224,https://www.kamin.klubexit.cz,
225,http://www.vkci.cz/,
226,https://www.clovekvtisni.cz/bilina,
227,https://www.jiskraduse.cz,
228,https://www.psycholog-jihlava.cz,
229,https://www.psychiatrie-konupcikova.cz,
230,https://psychiatrie.help/,
231,http://www.psychocentrumzlin.cz/,
232,http://www.clovekvtisni.cz/plzen,
233,http://www.pppkhk.cz/,
234,http://www.psychologickapraxe-krnov.cz/,
235,https://www.jahoda.cz,
236,https://www.jablonec.diakonie.cz,
237,https://www.ckrumlov.charita.cz,
238,https://silviebartosova.www3.cz,
239,http://obcanskaporadna.cz,
240,http://www.opava.eurotopia.cz/index-caravan.php,
241,http://www.riaps.cz/ambulance,
242,https://nemji.cz/vismo/o_utvar.asp?id_org=427000&id_u=1019&tzv=2&p1=1154,
243,https://www.ekatalog.cz/firma/268148-mudr-vlasta-hoskova-psychiatrie/,
244,http://www.psycholog-tejklova.cz/,
245,http://www.psychoterapeut-liberec.cz/,
246,http:// www.psychamb.cz,
247,https://www.socialnipece.cz,
248,https://www.clovekvtisni.cz/co-delame/socialni-prace-v-cr/plzensky-kraj,
249,https://www.nudz.cz/lecebna-pece/klinicka-psychologie/profil/,
250,https://www.susice.charita.cz/jak-pomahame/odborne-socialni-poradenstvi/,
251,http://www.cheiront.cz/,
252,http://www.opvm.cz/,
253,https://psycholog-iva-gregorova.business.site/,
254,https://ppp9.cz/,
255,http://www.jahoda.cz/,
256,https://www.pnkosmonosy.cz/cdz.html,
257,https://www.homolka.cz/,
258,https://www.psycholozkazpatehopatra.cz,
259,https://psycholog-domazlice.cz/,
260,http://www.csdzo.unas.cz/,
261,https://www.fokus-mb.cz,
262,https://www.hipojupiter.cz,
263,onhb.cz/Article.asp?nDepartmentID=256&nArticleID=341&nLanguageID=1,
264,https://pestalozzi.cz/,
265,https://www.fokuslabe.cz/centra-dusevniho-zdravi/centrum-dusevniho-zdravi-usti-nad-labem/,
266,https://www.kotec.cz,
267,https://www.psychocentrum.cz/pracoviste-havlickuv-brod,
268,mb-psychoterapie.cz,
269,http://www.pppfm.cz/,
270,http://www.brno.cz,
271,psyche-centrum.cz,
272,https://www.psychocentrum.cz/pracoviste-jihlava,
273,https://www.magdalena-ops.eu,
274,http://www.prah-brno.cz/novinky/2-uncategorised/63-odborne-socialni-poradenstvi,
275,https://nrpzs.uzis.cz/detail-63187-psychiatricka-ordinace-mudr-josef-kasparek-s-r-o.html,
276,https://www.firmy.cz/detail/385148-mudr-frantisek-zahourek-pisek-budejovicke-predmesti.html,
277,http://www.clovekvtisni.cz/,
278,http://www.pojmanova.cz/,
279,https://www.clovekvtisni.cz,
280,https://www.modrykriz.org/,
281,https://www.ordinace.cz/ordinace/redesign/index.php?id=1904,
282,csps-hk.cz,
283,salesianiteplice.cz,
284,https://www.dixie.ymca.cz,
285,psychosomatika.info,
286,https://www.psychiatrie-hajda.cz/#utm_source=firmy.cz&utm_medium=ppd&utm_campaign=firmy.cz-13300779,
287,https://www.znamylekar.cz/marketa-rousalova/psychiatr/ceske-budejovice,
288,https://www.centrom.cz,
289,https://www.terapiejakocesta.cz/,
290,https://susicka.info/,
291,http://selfhelp.dinphoto.com/,
292,info@psychomost.cz,
293,https://www.znamylekar.cz/nadezda-kramarova/psychiatr/ceske-budejovice,
294,http://www.ymkarium.ymca.cz,
295,https://mudr-magdalena-bohacova.business.site/,
296,https://www.psychologkaraskova.cz/,
297,http://www.armadaspasy.cz/,
298,http://www.psychologiebratkova.cz/,
299,http://www.onlinekarvina.cz/,
300,http://pivecka-ops.cz/?page_id=1948,
301,https://www.gp.cz/,
302,https://www.znamylekar.cz/vladimir-beran-2/psychiatr/karlovy-vary,
303,mdrdova@spzkolobezka.cz,
304,https://www.martinbayer.cz/,
305,http://www.educozatec.cz/,
306,https://www.psychologrezkova.cz/,
307,proximity.unas.cz,
308,https://www.ckp-dobrichovice.cz/,
309,https://www.jekhetane.cz,
310,misa.zapletalova@tiscali.cz,
311,https://www.diakoniezapad.cz,
312,https://phdr-jiri-bauer-phd.webnode.cz/,
313,http://www.psychomost.cz/,
314,http://www.psychologove.cz/,
315,https://www.fokuslabe.cz/centra-dusevniho-zdravi/centrum-dusevniho-zdravi-chomutov/,
316,https://pppcl.cz/,"778 499 169, 487 522 179, 728 541 505"
317,https://www.cbudejovice.charita.cz,
318,https://www.ocss.cz,
319,hrdlickova@fokus-praha.cz,
320,https://www.psychologie-kurim.cz/,
