Name;API Name;Phone;Phone Match;API Phone;Address;API Address;Email;Web;API Web;API Opening Hours
PaedDr. et Mgr. Dagmar Hrubá psychoterapeut;Hrubá Dagmar PaedDr.;602 416 177;PRAVDA;602 416 177;Zlatá stezka 138, Prachatice 383 01, Jihočeský kraj;Zlatá stezka 138, 383 01 Prachatice, Czechia;info@dagmarhruba.cz;https://www.dagmarhruba.cz/cs/;http://www.dagmarhruba.cz/;
Všeobecná ambulance psychiatrické kliniky;;495832597;NEPRAVDA;No phone number available;Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj;Not found;slovackovab@lfhk.cuni.cz;https://www.fnhk.cz/psych/kliniky-ambulance.html;;
Poradna pro léčbu psychotických poruch;581;495 833 478, 495 834 271;NEPRAVDA;No phone number available;Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj;Sokolská 581, 500 05 Hradec Králové-Nový Hradec Králové, Czechia;masopustj@lfhk.cuni.cz;https://www.fnhk.cz/psych/kliniky-ambulance.html;;
Poradna pro léčbu afektivních poruch;581;495 383 456, 495 833 365;NEPRAVDA;No phone number available;Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj;Sokolská 581, 500 05 Hradec Králové-Nový Hradec Králové, Czechia;kohlerr@lfhk.cuni.cz;https://www.fnhk.cz/psych/kliniky-ambulance.html;;
Poradna pro poruchy spánku a biorytmů;581;495832360;NEPRAVDA;No phone number available;Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj;Sokolská 581, 500 05 Hradec Králové-Nový Hradec Králové, Czechia;tuma@lfhk.cuni.cz;https://www.fnhk.cz/psych/kliniky-ambulance.html;;
Ambulance pro alkoholismus a jiné toxikomanie;581;495 833 232;NEPRAVDA;No phone number available;Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj;Sokolská 581, 500 05 Hradec Králové-Nový Hradec Králové, Czechia;fnhk@fnhk.cz;https://www.fnhk.cz/psych/kliniky-ambulance.html#utm_source=firmy.cz&utm_medium=ppd&utm_content=kategorie&utm_term=Psychiatrick%c3%a9%20ambulance&utm_campaign=firmy.cz-12989534;;
Ambulantní péče o osoby s duševním onemocněním;;493 522 029, 777 757 314;NEPRAVDA;No phone number available;Klicperova 6, Hořice 508 01, Královéhradecký kraj;Not found;horice@vaspsychiatr.cz;www.vaspsychiatr.cz;;
Psychiatrická ambulance - EGOMED, s.r.o.;;725 811 963;NEPRAVDA;No phone number available;Dr. Ed. Beneše 191, Jaroměř 551 01, Královéhradecký kraj;Not found;cernikovalenka@email.cz;https://www.firmy.cz/detail/12844251-egomed-jaromer-prazske-predmesti.html;;
Psychiatrická ambulance Hradec Králové - EGOMED, s.r.o.;Egomed, S.r.o.;725 811 963;NEPRAVDA;No phone number available;Tomkova 181/9, Hradec Králové (část) 500 03, Královéhradecký kraj;Tomkova 181/9, 500 03 Hradec Králové-Hradec Králové 3, Czechia;cernikovalenka@email.cz;https://www.firmy.cz/detail/12844248-egomed-hradec-kralove.html;https://www.doktor.cz/doktor/mudr-lenka-cernikova-psychiatrie-17694/egomed-s-r-o-psychiatricka-ambulance-tomkova-181-9-hradec-kralove-50003-22884;{'open_now': False, 'periods': [{'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '0830'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: 8:30\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']}
Psychiatrická ambulance MUDr. Kateřiny Konupčíkové - Hradec Králové;Psychiatrická ambulance Elenio s.r.o. - MUDr. Elena Křivková;608971030;NEPRAVDA;603 997 033;Ulrichovo náměstí 762, Hradec Králové (část) 500 02, Královéhradecký kraj;Špitálská 149/7, 500 03 Hradec Králové-Hradec Králové 3, Czechia;ambulance@psychiatrie-konupcikova.cz;http://www.psychiatrie-konupcikova.cz/kontakt.htm;;{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1500'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '1600'}}], 'weekday_text': ['Monday: 12:00\u2009–\u20093:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 4:00\u2009–\u20096:00\u202fPM', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']}
Psychiatrická ambulance MUDr. Kateřiny Konupčíkové - Vrchlabí;Katka Vančová - psychoterapeut, kouč osobního rozvoje;608971030;NEPRAVDA;702 089 276;Komenského 63, Vrchlabí (část) 543 01, Královéhradecký kraj;Hořejší Vrchlabí 284, 543 02 Vrchlabí-Vrchlabí 4, Czechia;ambulance@psychiatrie-konupcikova.cz;www.psychiatrie-konupcikova.cz;http://www.cititseskvele.cz/;
Psychiatrická ambulance pro děti a mladistvé;;495 833 746;NEPRAVDA;No phone number available;Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj;Not found;hanusovaa@lfhk.cuni.cz;https://www.fnhk.cz/psych/kliniky-ambulance.html;;
Psychoterapeutické centrum MUDr. Elena Křivková;Psychiatrická ambulance Elenio s.r.o. - MUDr. Elena Křivková;603 997 033;PRAVDA;603 997 033;Velké náměstí 149, Hradec Králové (část) 500 03, Královéhradecký kraj;Špitálská 149/7, 500 03 Hradec Králové-Hradec Králové 3, Czechia;poradna@psycholog-hradec-kralove.cz;https://firmy.hradeckralove.cz/firma-psychoterapeuticke-centrum-mudr-elena-krivkova-33806/#ixzz6jVYeQm5u;;{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1500'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '1600'}}], 'weekday_text': ['Monday: 12:00\u2009–\u20093:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 4:00\u2009–\u20096:00\u202fPM', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']}
Psychiatr MUDr. Ludmila Dušková;Dušková Ludmila MUDr.;388 316 762;PRAVDA;388 316 762;Horní 180, Prachatice 383 01, Jihočeský kraj;Horní 180, 383 01 Prachatice, Czechia;taduskova@centrum.cz;https://www.asertivita.com/;;{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1330'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '1530'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '1330'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '1330'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '1230'}, 'open': {'day': 5, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20091:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20093:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20091:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20091:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u200912:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']}
Psychoterapeutické centrum MUDr. Elena Křivková;;603 997 033;NEPRAVDA;No phone number available;Palackého 201, Trutnov 541 01, Královéhradecký kraj;Not found;poradna@psycholog-hradec-kralove.cz;psycholog-hradec-kralove.cz;;
MUDr. Jaroslav Poláček - Ordinace psychiatra;Polák Jaroslav MUDr.;499 850 770;NEPRAVDA;386 357 586;Palackého 201, Trutnov 541 01, Královéhradecký kraj;13, Klavíkova 1573, 370 04 České Budějovice-České Budějovice 3, Czechia;j.polacek@worldonline.cz;https://www.netfirmy.cz/firma/6757-polacek-jaroslav-mudr/;;
Mgr. Veronika Galusová - Psychologická poradna;;778 048 819;NEPRAVDA;No phone number available;Pražská třída 649/45, Hradec Králové (část) 500 04, Královéhradecký kraj;Not found;galusova.veronika@email.cz;https://veronikagalusova.cz;;
PhDr. Jana Mervartová - Psychologická poradna;;465 557 563;NEPRAVDA;No phone number available;Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj;Not found;proximity.ps@tiscali.cz;proximity.unas.cz;;
Mgr. Dagmar Jakubská - Soukromá psychologická praxe;;777 819 645;NEPRAVDA;No phone number available;Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj;Not found;dagmar.jakubska@seznam.cz;http://www.psycholog-hk.cz/;;
KAIROS - Centrum krizové intervence, psychoterapie a hypnoterapie;;725 340 204;NEPRAVDA;No phone number available;československé armády 282/15, Hradec Králové (část) 500 03, Královéhradecký kraj;Not found;info@kairos-hk.cz;http://kairos-hk.cz/nabizene-sluzby/;;
Mgr. René Hůlek - Psychologická poradna;;608 970 783;NEPRAVDA;No phone number available;Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj;Not found;rene@hulek.cz;https://search.seznam.cz/?q=psycholog+hradec+kr%C3%A1lov%C3%A9&oq=psycholog+Hradec+&aq=1&sourceid=top&thru=sugend&sId=puFsObCO0i8VnJrk8ZoV&sgId=MTA5Nzc3MzkgMTYxMDk2ODAxNS42NzA%3D&overlay_type&overlay_id;;
EEG - Biofeedback;;602 116 318, 603 337 132;NEPRAVDA;No phone number available;Machkova 587/42, Hradec Králové (část) 503 11, Královéhradecký kraj;Not found;noskovi.hk@gmail.com;www.eeg-biofeedback-hradec.cz;;
Mgr. Martin Brož - Psychologická poradna;;721 710 198;NEPRAVDA;No phone number available;Velké náměstí 19/29, Hradec Králové (část) 500 03, Královéhradecký kraj;Not found;martinbroz@mb-psychoterapie.cz;mb-psychoterapie.cz;;
Mgr. Lenka Půlpánová - Psychologická poradna;;732 170 292;NEPRAVDA;No phone number available;Veverkova 1343/1, Hradec Králové (část) 500 02, Královéhradecký kraj;Not found;pulpanova@psychoporadnahk.cz;psychoporadnahk.cz;;
Psychoterapeutická poradna TERAPEUTOVNA;;775 727 068;NEPRAVDA;No phone number available;S. K. Neumanna 250/4, Hradec Králové (část) 500 02, Královéhradecký kraj;Not found;psychoterapeutovna@gmail.com;www.psycholozkazpatehopatra.cz;;
Mgr. Lucie Blažková - Psychologická poradna;Mgr. Lucie Blažková - Soukromá psychologická praxe;737 988 290;PRAVDA;737 988 290;Horova 36/29, Hradec Králové (část) 500 02, Královéhradecký kraj;Horova 36/29, 500 02 Hradec Králové-Hradec Králové 2, Czechia;psychologhk.blazkova@gmail.com;www.psychologicka-poradna-hk.cz;http://www.psychologicka-poradna-hk.cz/;
Mgr. Denisa Hatáková - Psychologická poradna;Mgr. Denisa Hatáková - Soukromá psychologická praxe;724 931 027;PRAVDA;724 931 027;Horova 36/29, Hradec Králové (část) 500 02, Královéhradecký kraj;OFFICE Horova, Horova 36/29, 500 02 Hradec Králové-Hradec Králové 2, Czechia;psycholog.hatakova@gmail.com;www.psycholog-hatakova.cz;https://psycholog-hatakova.cz/;
Psycholog Mgr. et Mgr. Radka Minaříková;Psycholog Mgr. et Mgr. Radka Minaříková;775 266 244;PRAVDA;775 266 244;Střelecká 45/2, Hradec Králové (část) 500 02, Královéhradecký kraj;Střelecká 45/2, 500 02 Hradec Králové-Hradec Králové 2, Czechia;radka.minarikova@post.cz;https://radkaminarikova.webnode.cz;https://radkaminarikova.webnode.cz/;{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1500'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1500'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1500'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1500'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']}
Manželská poradna - Hradec Králové;Psychologické Poradny Pro Rodinu, Manželství A Mezilidské Vztahy Csps, O.p.s.;607 248 533;NEPRAVDA;495 265 015;Divišova 829/2, Hradec Králové (část) 500 03, Královéhradecký kraj;2, Divišova 829, 500 03 Hradec Králové-Hradec Králové 3, Czechia;poradna.hk@csps-hk.cz;csps-hk.cz;;
Manželská poradna Jičín;Manželská a rodinná poradna Jičín, CSPS o.p.s.;606 963 057;NEPRAVDA;493 522 811;Denisova 585, Jičín-Dvorce 506 01, Královéhradecký kraj;Denisova 585, 506 01 Jičín-Jičín 1, Czechia;poradna.jc@seznam.cz;https://www.csps-hk.cz/;https://www.csps-hk.cz/Manzelska-rodinna-poradna.html;
Manželská poradna Náchod;Centrum sociální pomoci a služeb, o.p.s. - Manželská a rodinná poradna Náchod;728 934 183;PRAVDA;728 934 183;Hálkova 432, Náchod 547 01, Královéhradecký kraj;Hálkova 432, 547 01 Náchod-Náchod 1, Czechia;rod.poradna@csps-hk.cz;https://www.csps-hk.cz/;http://www.csps-hk.cz/;
Manželská poradna Rychnov nad Kněžnou;Manželská a rodinná poradna Rychnov nad Kněžnou;733 676 799;PRAVDA;733 676 799;Javornická 1501, Rychnov nad Kněžnou 516 01, Královéhradecký kraj;Javornická 1501, 516 01 Rychnov nad Kněžnou, Czechia;poradna@psycholog-rychnov.cz;https://www.csps-hk.cz/;http://psycholog-rychnov.cz/;{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']}
Psychiatrická ambulance Pateb Jemnice;Psychiatrická léčebna PATEB s.r.o.;565 303 237;NEPRAVDA;568 450 728;Budějovická 625, Jemnice 675 31, Kraj Vysočina;Budějovická 625, 675 31 Jemnice, Czechia;pateb@pateb.cz;http://www.pateb.cz;https://pateb.cz/;
Mgr. Romana Svíbová - tvuj-terapeut.cz;Mgr. Romana Svíbová, Tvůj-terapeut.cz;775 505 315;PRAVDA;775 505 315;československé armády 287/19, Hradec Králové (část) 500 03, Královéhradecký kraj;Československé armády, 500 03 Hradec Králové-Hradec Králové 3, Czechia;info@tvuj-terapeut.cz;tvuj-terapeut.cz;http://www.tvuj-terapeut.cz/;
AKAP centrum, s.r.o.;;603 739 658;NEPRAVDA;No phone number available;V Kopečku 163/19, Hradec Králové (část) 500 03, Královéhradecký kraj;Not found;akapcentrum@gmail.com;asistovanekontakty.cz;;
PaedDr. Jaroslava Honegrová - Psychologická poradna;Honegrová Jaroslava PaedDr.;606 484 975;PRAVDA;606 484 975;Boční 273/14, Hradec Králové (část) 503 11, Královéhradecký kraj;Boční 273/14, 503 11 Hradec Králové-Hradec Králové 15, Czechia;j.honegrova@seznam.cz;terapie-poradenstvi.wz.cz;https://www.zlatestranky.cz/profil/H455570;{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}
Mgr. Zuzana říhová - Psychologická poradna;S. K. Neumanna 250/4;774 830 975;NEPRAVDA;No phone number available;S. K. Neumanna 250/4, Hradec Králové (část) 500 02, Královéhradecký kraj;S. K. Neumanna 250/4, Pražské Předměstí, 500 02 Hradec Králové-Hradec Králové 2, Czechia;zuzana.lenderova.rihova@gmail.com;https://zuzanarihova.lender.cz;;
Dr. Jan Vyhnálek Ph.D., psycholog;PhDr. Jan Vyhnálek, Ph.D., psycholog a terapeut;775 249 886;PRAVDA;775 249 886;náměstí 5. května 286/3, Hradec Králové (část) 500 02, Královéhradecký kraj;Klatovská tř. 73/7a, 301 00 Plzeň-Plzeň 3, Czechia;vyhnalekj@gmail.com;www.cpduha.cz;;
PhDr. Dana Dobiášová - Klinický psycholog a psychoterapeut;PhDr. Dana Dobiášová;731 171 454;NEPRAVDA;495 511 324;Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj;1, Kavčí plácek 121, 500 03 Hradec Králové-Hradec Králové 3, Czechia;dana.dobiasova@centrum.cz;www.psy-dobiasova.cz;http://www.psy-dobiasova.cz/;
MUDr. Lubomír Hadaš - Psychoterapie;;605 714 948;NEPRAVDA;No phone number available;Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj;Not found;lubomir.hadas@seznam.cz;https://www.firmy.cz/detail/479833-mudr-lubomir-hadas-hradec-kralove.html;;
Magdaléna Datková - Ordinace klinické psychologie;Ordinace klinické psychologie DiLea Trade, s.r.o.;495 833 842;NEPRAVDA;No phone number available;Sokolská 581, Hradec Králové (část) 500 03, Královéhradecký kraj;Štefánikova 203/23, 150 00 Praha 5-Smíchov, Czechia;datkova@seznam.cz;https://www.firmy.cz/detail/2258616-magdalena-datkova-hradec-kralove-novy-hradec-kralove.html;http://www.klinickapsychologie.cz/;{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '0700'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']}
Mgr. Martina Cibulková - Psychoterapie;;736 788 346;NEPRAVDA;No phone number available;Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj;Not found;martina.cibulka@seznam.cz;www.psychoterapiehk.cz;;
Psychoterapie - Mgr. Radka Brůnová;Psychoterapie Hradec Králové - Mgr. Radka Brůnová;736 190 725;PRAVDA;736 190 725;Lochenice 23, Lochenice 503 02, Královéhradecký kraj;Lochenice 23, 503 02 Lochenice, Czechia;radkabrunova@seznam.cz;psychoterapiehradeckralove.cz;http://psychoterapiehradeckralove.cz/;
Psychiatrická ordinace MUDr. Aleš Michálek;;380 714 767;NEPRAVDA;No phone number available;Nemocniční 429, český Krumlov 381 01, Jihočeský kraj;Not found;;http://www.nemckr.cz/index.php/cs/ambulance/soukr-ordinace/psychiatrie;;
Mgr. Marek Vít - Ambulance klinické psychologie, psychoterapie a homeopatie;Mgr. Marek Vít - psychoterapie, homeopatie, rodinné konstelace;777 052 569;PRAVDA;777 052 569;Na Chocholouši 409, Hronov (část) 549 31, Královéhradecký kraj;84, Mánesova 1639, 120 00 Praha 2-Vinohrady, Czechia;vitm@post.cz;psychosomatika.info;;
Scintilla - jiskra duše;Scintilla - jiskra duše, Náchod – Iva Brzobohatá, Mgr.;724 879 797;PRAVDA;724 879 797;Kamenice 113, Náchod 547 01, Královéhradecký kraj;Kamenice 113, 547 01 Náchod-Náchod 1, Czechia;iva@jiskraduse.cz;www.jiskraduse.cz;;
PhDr. Eva Otterová - Klinický psycholog, psychoterapeut;;774 230 134;NEPRAVDA;No phone number available;Kavčí plácek 121/1, Hradec Králové (část) 500 03, Královéhradecký kraj;Not found;eva.otterova@seznam.cz;https://www.firmy.cz/detail/12999364-phdr-eva-otterova-hradec-kralove.html;;
Psychiatrická ambulance MUDr. Martina Habrová;Antonínská 85;384 384 262;NEPRAVDA;No phone number available;Antonínská 85/II, Dačice I 380 01, Jihočeský kraj;Antonínská 85, 380 01 Dačice-Dačice II, Czechia;neniemail@nemda.cz;http://www.nemdac.cz/ambulance/psychiatricka-ambulance/;;
Psychoterapeut Josef řehák;Bc. Karin Řeháková;603254294;NEPRAVDA;724 065 299;Nebahovská 1015, Prachatice 383 01, Jihočeský kraj;Thámova 30/116, 186 00 Praha 8-Karlín, Czechia;Josef.Rehak@iol.cz;https://czap.cz/Sys/PublicProfile/58885403;http://karinrehakova.cz/kontakt/;
AMBULANCE Klinické psychologie, psychiatrie a dětské psychiatrie, adiktologie;Dětská psychiatrická klinika 2. LF UK a FN Motol;725 099 630;NEPRAVDA;224 433 400;Presslova 449, Dvůr Králové nad Labem 544 01, Královéhradecký kraj;V Úvalu 84, 150 06 Praha 5, Czechia;psychiatrie.dvur@seznam.cz;http://www.riaps.cz/ambulance/;http://www.fnmotol.cz/kliniky-a-oddeleni/cast-pro-deti/detska-psychiatricka-klinika-2-lf-uk-a-fn-motol/kontakt/;{'open_now': True, 'periods': [{'close': {'day': 6, 'time': '0000'}, 'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Closed', 'Sunday: Open 24 hours']}
AMBULANCE Klinické psychologie Trutnov;Ambulance klinického psychologa;731 441 264, 725 720 341;NEPRAVDA;499 812 445;Procházkova 818, Trutnov 541 01, Královéhradecký kraj;U Nemocnice 83, 541 01 Trutnov-Trutnov 1, Czechia;ambulance.trutnov@riaps.cz;http://www.riaps.cz/ambulance;;
CDZ Trutnov (RIAPS Trutnov);RIAPS Trutnov;702 256 762;NEPRAVDA;725 720 341;Procházkova 818, Trutnov 541 01, Královéhradecký kraj;Procházkova 818, 541 01 Trutnov-Trutnov 1, Czechia;cdztrutnov@seznam.cz;http://www.riaps.cz/cdz/;https://www.riaps.cz/;
